node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID
414,415,41.9461226320193,10.6253439545174,-7.16797205022299,7.86746206436932,-8.79356821317882,278.991346315867,237.045223683848,1754.3103148662,1796.25643749822,562500000
414,556,154.219214446991,10.6253439545174,-7.16797205022299,10.5915922772124,-7.14934985884341,391.26443813084,237.045223683848,1754.3103148662,1908.52952931319,562500000
415,551,114.130052792243,7.86746206436932,-8.79356821317882,7.00039245664224,-9.47353243120067,393.121399108111,278.991346315867,1796.25643749822,1910.38649029047,562500000
415,416,3.50856862397507,7.86746206436932,-8.79356821317882,7.86065897385333,-8.79120919434378,282.499914939842,278.991346315867,1796.25643749822,1799.7650061222,562500000
416,417,144.204588737212,7.86065897385333,-8.79120919434378,9.96026149038323,-10.7291321712424,426.704503677055,282.499914939842,1799.7650061222,1943.96959485941,562500000
416,473,52.5169237405994,7.86065897385333,-8.79120919434378,7.85229415080847,-8.79114904374196,335.016838680442,282.499914939842,1799.7650061222,1852.2819298628,562500000
417,418,21.8263489571913,9.96026149038323,-10.7291321712424,9.95837092876331,-10.7310717789153,448.530852634246,426.704503677055,1943.96959485941,1965.7959438166,562500000
417,466,3.67762338859879,9.96026149038323,-10.7291321712424,9.96055499248174,-10.7269814817337,430.382127065653,426.704503677055,1943.96959485941,1947.64721824801,562500000
418,429,0.627772683099359,9.95837092876331,-10.7310717789153,9.95755004260221,-10.7332238442553,449.158625317345,448.530852634246,1965.7959438166,1966.4237164997,562500000
418,419,8.69478150485158,9.95837092876331,-10.7310717789153,9.95651836829234,-10.7296208952855,457.225634139097,448.530852634246,1965.7959438166,1974.49072532145,562500000
419,420,10.0863615750523,9.95651836829234,-10.7296208952855,9.95448931438124,-10.7341809566392,467.31199571415,457.225634139097,1974.49072532145,1984.5770868965,562500000
419,421,5.30888760018523,9.95651836829234,-10.7296208952855,9.956546902953,-10.7273909339603,462.534521739283,457.225634139097,1974.49072532145,1979.79961292164,562500000
