node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,genotype
9,8,2.26266814591363,7.78056526446067,5.25481224464778,10.686987,13.272643,2.26266814591363,0,1966.73733185409,1969,143000000,1
9,10,34.7224533922816,7.78056526446067,5.25481224464778,7.78831995769849,4.07531013623279,34.7224533922816,0,1966.73733185409,2001.45978524637,143000000,1
10,11,13.8200812283109,7.78831995769849,4.07531013623279,7.82465399737843,5.16143178944117,48.5425346205925,34.7224533922816,2001.45978524637,2015.27986647468,143000000,1
10,12,4.24524300453957,7.78831995769849,4.07531013623279,7.60655583064236,4.48184759482763,38.9676963968212,34.7224533922816,2001.45978524637,2005.70502825091,143000000,1
11,1,0.755652651004214,7.82465399737843,5.16143178944117,7.845422,5.182916,49.2981872715967,48.5425346205925,2015.27986647468,2016.03551912568,143000000,1
11,2,3.76396914175952,7.82465399737843,5.16143178944117,7.525829,5.762072,52.306503762352,48.5425346205925,2015.27986647468,2019.04383561644,143000000,1
12,13,2.08752745918659,7.60655583064236,4.48184759482763,7.62386438068145,4.58331897846849,41.0552238560078,38.9676963968212,2005.70502825091,2007.79255571009,143000000,1
12,15,2.81691658576109,7.60655583064236,4.48184759482763,7.62748621681353,4.61594911492392,41.7846129825823,38.9676963968212,2005.70502825091,2008.52194483667,143000000,1
13,3,1.36908812552222,7.62386438068145,4.58331897846849,7.68723475598097,4.61590108295289,42.42431198153,41.0552238560078,2007.79255571009,2009.16164383562,143000000,1
13,14,0.389099444333533,7.62386438068145,4.58331897846849,7.64634682945491,4.58657442343137,41.4443233003413,41.0552238560078,2007.79255571009,2008.18165515443,143000000,1
14,4,4.02053063792216,7.64634682945491,4.58657442343137,7.68402375249997,4.61871262668064,45.4648539382635,41.4443233003413,2008.18165515443,2012.20218579235,143000000,1
14,5,0.56697872535376,7.64634682945491,4.58657442343137,7.67893893468694,4.62058376398362,42.0113020256951,41.4443233003413,2008.18165515443,2008.74863387978,143000000,1
15,6,0.226689043112788,7.62748621681353,4.61594911492392,7.68367595095781,4.61756559725118,42.0113020256951,41.7846129825823,2008.52194483667,2008.74863387978,143000000,1
15,7,0.639698998947711,7.62748621681353,4.61594911492392,7.68513803796662,4.62131112959456,42.42431198153,41.7846129825823,2008.52194483667,2009.16164383562,143000000,1
215,404,54.2517964412011,6.28798223900322,8.08483681778524,6.33244005403344,8.08556237503349,54.2517964412011,0,1774.90007405022,1829.15187049143,143000000,2
215,216,48.7803306018749,6.28798223900322,8.08483681778524,6.27544397581463,8.0873776006065,48.7803306018749,0,1774.90007405022,1823.6804046521,143000000,2
216,217,43.4793618524898,6.27544397581463,8.0873776006065,6.17585508637425,6.80309685102755,92.2596924543648,48.7803306018749,1823.6804046521,1867.15976650459,143000000,2
216,390,133.947792270712,6.27544397581463,8.0873776006065,6.33462998922522,8.10631849336973,182.728122872587,48.7803306018749,1823.6804046521,1957.62819692281,143000000,2
217,223,55.5265277558204,6.17585508637425,6.80309685102755,6.20473502765542,6.83212981358534,147.786220210185,92.2596924543648,1867.15976650459,1922.68629426041,143000000,2
217,218,71.3893809888317,6.17585508637425,6.80309685102755,6.16801881673081,6.78223477940895,163.649073443197,92.2596924543648,1867.15976650459,1938.54914749342,143000000,2
218,21,35.5357840134277,6.16801881673081,6.78223477940895,6.166667,6.783333,199.184857456624,163.649073443197,1938.54914749342,1974.08493150685,143000000,2
218,219,1.70319156041441,6.16801881673081,6.78223477940895,8.94379242763797,11.3594269342661,165.352265003611,163.649073443197,1938.54914749342,1940.25233905384,143000000,2
219,221,29.937392367647,8.94379242763797,11.3594269342661,8.91058191834539,11.345956675007,195.289657371258,165.352265003611,1940.25233905384,1970.18973142148,143000000,2
219,220,40.4927327266418,8.94379242763797,11.3594269342661,8.9181396712061,11.3706815360221,205.844997730253,165.352265003611,1940.25233905384,1980.74507178048,143000000,2
220,16,31.3642178370087,8.9181396712061,11.3706815360221,8.89868503281071,11.3596034945244,237.209215567261,205.844997730253,1980.74507178048,2012.10928961749,143000000,2
220,17,35.2658571812711,8.9181396712061,11.3706815360221,7.251211,9.976395,241.110854911524,205.844997730253,1980.74507178048,2016.01092896175,143000000,2
221,20,41.9140937151291,8.91058191834539,11.345956675007,8.89780085530812,11.3624183293186,237.203751086387,195.289657371258,1970.18973142148,2012.10382513661,143000000,2
221,222,36.1485510343737,8.91058191834539,11.345956675007,8.89048546396621,11.3501637148886,231.438208405632,195.289657371258,1970.18973142148,2006.33828245586,143000000,2
222,18,6.83706000989679,8.89048546396621,11.3501637148886,8.89053487339525,11.355693094884,238.275268415528,231.438208405632,2006.33828245586,2013.17534246575,143000000,2
222,19,8.81240247565034,8.89048546396621,11.3501637148886,8.89345930412351,11.354910825262,240.250610881282,231.438208405632,2006.33828245586,2015.15068493151,143000000,2
223,226,7.54014668306299,6.20473502765542,6.83212981358534,6.1823024784597,6.74684997828809,155.326366893248,147.786220210185,1922.68629426041,1930.22644094347,143000000,2
223,224,70.0655344944333,6.20473502765542,6.83212981358534,6.20266389054215,6.7378043011052,217.851754704619,147.786220210185,1922.68629426041,1992.75182875484,143000000,2
224,22,26.2892671355675,6.20266389054215,6.7378043011052,7.272099,6.346321,244.141021840186,217.851754704619,1992.75182875484,2019.04109589041,143000000,2
224,225,24.9278201436369,6.20266389054215,6.7378043011052,6.20186098188117,6.73142118856289,242.779574848255,217.851754704619,1992.75182875484,2017.67964889848,143000000,2
