gbifID,latitude,longitude,count
34681709,2.9,36.05,1
34749437,-27.8458,23.5553,1
34749466,-26,27.75,1
34749474,-24.2,28.95,1
34749488,5.797,36.3,1
34749509,-0.4167,36.1,1
34749515,-0.75,36.3833,1
34749527,-32.976,18.15,1
34749531,1,30.5,1
34883423,3.975,36.317,1
34883424,-24.6,28.6667,1
34883429,-27.167,31.9833,1
34883431,-26.169,27.7211,1
34883437,-2.979,34.3167,1
34883447,-14.4022,31.9333,1
34883451,-28.2056,23.333,1
34883465,4.267,36.292,1
34883466,4.183,36.417,1
34883467,4.15,36.4,1
34883470,5.661,36.3,1
34883471,5.133,36.11,1
34883483,-2.3333,35.9667,1
34883486,-2.9861,35.3444,1
34883566,-0.1833,35.2667,1
34884426,-14.43,28.45,1
34884429,-15.52,28.18,1
35359717,35.1333,36.75,1
35359727,37.4167,31.85,1
35359739,37.97,23.72,1
35359753,37.9833,23.7333,1
35359758,36.4408,28.2225,1
35359763,36.7453,26.9589,1
35359782,36.8333,27.1667,1
35359787,37.5167,21.6,1
35359805,37.7667,-3.0167,1
35359811,37.7167,-2.4667,1
35359815,37.6167,-0.8667,1
35359844,37.35,-3.3,1
35359869,37.4167,-3.25,1
35359871,36.75,-3.5167,1
35359880,37.55,-2.8333,1
35359882,37.8167,-2.5333,1
35359892,37.5833,-3.2333,1
35359965,36.9611,-3.88,1
35359969,36.9556,-3.8917,1
35359970,36.9639,-3.8806,1
35360014,37,27,1
35360828,36.33,28.1083,1
35360848,37.2411,-3.6144,1
35375074,37.5833,-2.5667,1
35375218,37.1833,-3.6,1
35375297,37.1167,-7.9833,1
35544331,6.2167,-5.333,1
35544346,0.5,36,1
35544349,35.4158,0.3272,1
35544367,5.611,36.333,1
35544370,5.372,36.75,1
35544372,16.25,33.75,1
35544376,-0.7167,36.4167,1
35544378,-1.25,36.25,1
35544480,16.33,18.67,1
35943362,37.5833,-2.8333,1
35957410,-26.0339,27.7139,1
1500306520,37.35427,-5.942975,1
1500512613,37.97,-0.78,1
1500512623,37.97,-0.67,1
1500518613,37.99,-0.75,1
1914198655,36.363442,6.617967,1
1914201394,-2.996202,35.352304,1
1914209898,-33.946382,22.463507,1
1914218833,-2.832235,34.998072,1
1914316651,-34.060614,18.498974,1
1914356675,-33.106876,17.982389,1
1914357877,31.469942,35.394664,1
1914357880,31.458466,35.385673,1
1579859958,-19.031652,16.471746,1
1580119682,-21.755325,16.50308,1
1580143305,-33.989372,18.433416,1
1580328925,-33.913589,18.421669,1
1580334880,-22.567385,17.088011,1
1668796003,-25.08862,20.428264,1
1668842686,-23.855934,31.579599,1
1668872702,-25.180147,20.914038,1
1668905402,-22.204889,17.5807,1
1122707954,26.39625,63.991111,1
1122709679,26.933333,64.1,1
1122710002,25.263889,63.474444,1
1122710215,25.896944,64.430278,1
1122710230,28.913333,64.470556,1
1122710236,29.265,64.647222,1
1122710801,29.310278,64.123333,1
1122710859,29.069444,64.333056,1
1122711428,25.115972,62.32375,1
1122711474,25.333333,63.5,1
1122719181,-33.93702938,25.08214561,1
