trait	latitude	longitude
KF478766|Bamba_R114|Mouse|Mali|2012-03	10.3831	-7.1517
GU573551|Soromba_R245|Mouse|Mali|2009	10.5891	-7.1558
KF478767|Komina_R16|Mouse|Mali|2012-03-03	10.6164	-7.1583
GU573552|Soromba_R249|Mouse|Mali|2009	10.5891	-7.1558
GU573547|Soromba_R240|Mouse|Mali|2009	10.5891	-7.1558
KF478765|Soromba_R|Mouse|Mali|2009-06	10.5891	-7.1558
AF182271|las803796|Human|Liberia|1981	7.027106	-9.552698
DQ832676|BA375|Mouse|Guinea|2003	10.059767	-10.58615
DQ832668|GB132|Mouse|Guinea|2003	9.841017	-11.04015
DQ832667|GB129|Mouse|Guinea|2003	9.841017	-11.04015
DQ832689|TA817|Mouse|Guinea|2004	10.0004	-10.972783
DQ832684|TA444|Mouse|Guinea|2003	10.0004	-10.972783
DQ832686|TA464|Mouse|Guinea|2003	10.0004	-10.972783
DQ832690|TA820|Mouse|Guinea|2004	10.0004	-10.972783
DQ832682|TA416|Mouse|Guinea|2003	10.0004	-10.972783
DQ832683|TA341|Mouse|Guinea|2003	10.0004	-10.972783
DQ832671|BA302|Mouse|Guinea|2003	10.059767	-10.58615
DQ832681|BA686|Mouse|Guinea|2004	10.059767	-10.58615
DQ832678|BA378|Mouse|Guinea|2003	10.059767	-10.58615
DQ832674|BA356|Mouse|Guinea|2003	10.059767	-10.58615
GU830839|BA366|Mouse|Guinea|2003	10.050452	-10.587936
DQ832669|BA263|Mouse|Guinea|2003	10.059767	-10.58615
DQ832673|BA354|Mouse|Guinea|2003	10.059767	-10.58615
DQ832672|BA350|Mouse|Guinea|2003	10.059767	-10.58615
MH732623|GUIN-1739-Mn-2018|Mastomys_natalensis|Guinea|2018	7.758615	-8.815928
MH732626|GUIN-1745-Mn-2018|Mastomys_natalensis|Guinea|2018	7.758615	-8.815928
MH732625|GUIN-1744-Mn-2018|Mastomys_natalensis|Guinea|2018	7.758615	-8.815928
MH732624|GUIN-1750-Mn-2018|Mastomys_natalensis|Guinea|2018	7.758615	-8.815928
AF182264|las806829|Human|Liberia|1981	7.775819	-9.427707
AF182259|las803201|Human|Liberia|1972	7.775819	-9.427707
AF182260|las803792|Human|Liberia|1980	7.775819	-9.427707
AF182263|las803793|Human|Liberia|1980	7.775819	-9.427707
AF182262|las803791|Human|Liberia|1980	7.775819	-9.427707
AF182268|las807977|Human|Liberia|1981	7.775819	-9.427707
AF182266|las803203|Human|Liberia|1972	7.775819	-9.427707
DQ832692|DGD4|Mouse|Guinea|2005	8.338811	-10.543925
DQ832699|DGD112|Mouse|Guinea|2005	8.338811	-10.543925
DQ832694|DGD28|Mouse|Guinea|2005	8.338811	-10.543925
KT992417|Mad41|Mouse|Guinea|2014-05-08	9.87	-12.43
KT992421|Mad83|Mouse|Guinea|2014-05-10	9.87	-12.43
KT992419|Mad63|Mouse|Guinea|2014-05-09	9.87	-12.43
KT992420|Mad69|Mouse|Guinea|2014-05-09	9.87	-12.43
KT992418|Mad62|Mouse|Guinea|2014-05-09	9.87	-12.43
KT992416|Mad39|Mouse|Guinea|2014-05-08	9.87	-12.43
KM821885|G3034_SLE_2013|Human|Sierra_Leone|2013-02-27	8.064348	-11.619382
KM821847|G2363_SLE_2012|Human|Sierra_Leone|2012-02-27	8.064348	-11.619382
KM821904|G3234_SLE_2013|Human|Sierra_Leone|2013-07-15	7.956596	-11.736703
KM821802|G1529_SLE_2011|Human|Sierra_Leone|2011-03-02	7.862212	-11.196247
KM821869|G2615_SLE_2012|Human|Sierra_Leone|2012-07-24	8.064348	-11.619382
KM821871|G2723_SLE_2012|Human|Sierra_Leone|2012-08-21	8.064348	-11.619382
KM821909|G3278_SLE_2013|Human|Sierra_Leone|2013-08-02	8.064348	-11.619382
KM821835|G2259_SLE_2012|Human|Sierra_Leone|2012-01-16	8.064348	-11.619382
KM821833|G2230_SLE_2012|Human|Sierra_Leone|2011-12-29	8.064348	-11.619382
KM821856|G2431_SLE_2012|Human|Sierra_Leone|2012-04-02	8.064348	-11.619382
KM821800|G1442_SLE_2011|Human|Sierra_Leone|2011-01-20	8.660429	-11.059281
KM821837|G2263_SLE_2012|Human|Sierra_Leone|2012-01-17	7.862212	-11.196247
AF182234|las801618|Human|Sierra_Leone|1979	8.266454	-10.950343
AF182233|las802662|Human|Sierra_Leone|1980	8.166329	-11.330602
AF182238|las806827|Human|Sierra_Leone|1977	8.251329	-10.908552
KM821806|G1646_SLE_2011|Human|Sierra_Leone|2011-04-13	7.862212	-11.196247
KM821804|G1618_SLE_2011|Human|Sierra_Leone|2011-03-26	7.862212	-11.196247
KM821859|G2554_SLE_2012|Human|Sierra_Leone|2012-06-24	7.862212	-11.196247
KM821787|G733_SLE_2010|Human|Sierra_Leone|2010-01-17	8.184479	-11.134313
AF182237|las9607290|Human|Sierra_Leone|1996	7.997399	-10.950236
AF182235|las803205|Human|Sierra_Leone|1976	7.997399	-10.950236
AF182236|las803209|Human|Sierra_Leone|1975	7.997399	-10.950236
KM821854|G2427_SLE_2012|Human|Sierra_Leone|2012-03-31	7.862212	-11.196247
KM821894|G3151_SLE_2013|Human|Sierra_Leone|2013-06-05	7.862212	-11.196247
KM821900|G3222_SLE_2013|Human|Sierra_Leone|2013-07-10	7.862212	-11.196247
KM821850|G2392_SLE_2012|Human|Sierra_Leone|2012-03-14	7.862212	-11.196247
KM821902|G3229_SLE_2013|Human|Sierra_Leone|2013-07-13	7.862212	-11.196247
AF182239|las801105|Mouse|Sierra_Leone|1978	8.266454	-10.950343
AF182243|las801109|Mouse|Sierra_Leone|1978	8.266454	-10.950343
AF182241|las801104|Mouse|Sierra_Leone|1978	8.266454	-10.950343
AF182242|las801106|Mouse|Sierra_Leone|1978	8.266454	-10.950343
AF182244|las801108|Mouse|Sierra_Leone|1978	8.266454	-10.950343
KM821882|G3010_SLE_2013|Human|Sierra_Leone|2013-02-05	7.862212	-11.196247
KM821818|G1959_SLE_2011|Human|Sierra_Leone|2011-09-09	7.862212	-11.196247
KM821877|G2906_SLE_2012|Human|Sierra_Leone|2012-11-03	7.862212	-11.196247
KM821830|G2197_SLE_2011|Human|Sierra_Leone|2011-12-04	8.184479	-11.134313
KM821789|G771_SLE_2010|Human|Sierra_Leone|2010-02-08	7.874519	-11.342483
KM821777|G610_SLE_2009|Human|Sierra_Leone|2009-08-28	8.660429	-11.059281
KM821820|G1960_SLE_2011|Human|Sierra_Leone|2011-09-11	7.862212	-11.196247
KM821814|G1792_SLE_2011|Human|Sierra_Leone|2011-06-17	8.184479	-11.134313
KM821878|G2934_SLE_2012|Human|Sierra_Leone|2012-11-27	7.862212	-11.196247
KM821775|G503_SLE_2009|Human|Sierra_Leone|2009-04-30	8.660429	-11.059281
AF182253|las801100|Mouse|Sierra_Leone|1978	8.660429	-11.059281
KM821824|G2147_SLE_2011|Human|Sierra_Leone|2011-11-16	7.862212	-11.196247
AF182254|las806843|Human|Sierra_Leone|1993	8.660429	-11.059281
KM821794|G1180_SLE_2010|Human|Sierra_Leone|2010-09-02	7.862212	-11.196247
KM821773|G502_SLE_2009|Human|Sierra_Leone|2009-04-29	7.862212	-11.196247
KM821828|G2184_SLE_2011|Human|Sierra_Leone|2011-11-26	8.064348	-11.619382
KM821848|G2384_SLE_2012|Human|Sierra_Leone|2012-03-09	7.997399	-10.950236
KM821826|G2165_SLE_2011|Human|Sierra_Leone|2011-11-18	8.184479	-11.134313
AF182246|las807976|Human|Sierra_Leone|1977	8.660429	-11.059281
KM821874|G2868_SLE_2012|Human|Sierra_Leone|2012-10-08	7.862212	-11.196247
KM821792|G808_SLE_2010|Human|Sierra_Leone|2010-02-27	8.184479	-11.134313
KM821899|G3206_SLE_2013|Human|Sierra_Leone|2013-07-01	8.184479	-11.134313
KM821876|G2903_SLE_2012|Human|Sierra_Leone|2012-10-30	8.064348	-11.619382
KM821843|G2315_SLE_2012|Human|Sierra_Leone|2012-02-10	8.184479	-11.134313
