trait	latitude	longitude
KM821776|G610_SLE_2009|Human|Sierra_Leone|2009-08-28	8.660429	-11.059281
KM821788|G771_SLE_2010|Human|Sierra_Leone|2010-02-08	7.874519	-11.342483
KM821784|G693_SLE_2009|Human|Sierra_Leone|2010-01-01	8.660429	-11.059281
KM821774|G503_SLE_2009|Human|Sierra_Leone|2009-04-30	8.660429	-11.059281
KM821793|G1180_SLE_2010|Human|Sierra_Leone|2010-09-02	7.862212	-11.196247
KM821772|G502_SLE_2009|Human|Sierra_Leone|2009-04-29	7.862212	-11.196247
KM821823|G2147_SLE_2011|Human|Sierra_Leone|2011-11-16	7.862212	-11.196247
KM821825|G2165_SLE_2011|Human|Sierra_Leone|2011-11-18	8.184479	-11.134313
KM821827|G2184_SLE_2011|Human|Sierra_Leone|2011-11-26	8.064348	-11.619382
KM821898|G3206_SLE_2013|Human|Sierra_Leone|2013-07-01	8.184479	-11.134313
KM821875|G2903_SLE_2012|Human|Sierra_Leone|2012-10-30	8.064348	-11.619382
KM821842|G2315_SLE_2012|Human|Sierra_Leone|2012-02-10	8.184479	-11.134313
KM821791|G808_SLE_2010|Human|Sierra_Leone|2010-02-27	8.184479	-11.134313
KM821873|G2868_SLE_2012|Human|Sierra_Leone|2012-10-08	7.862212	-11.196247
KM821831|G2222_SLE_2011|Human|Sierra_Leone|2011-12-19	8.05	-11.11
KM821811|G1774_SLE_2011|Human|Sierra_Leone|2011-06-11	8.05	-11.11
KM821780|G676_SLE_2009|Human|Sierra_Leone|2009-12-09	8.154893	-11.171735
KM821851|G2405_SLE_2012|Human|Sierra_Leone|2012-03-27	7.862212	-11.196247
KM821807|G1647_SLE_2011|Human|Sierra_Leone|2011-04-15	7.862212	-11.196247
KM821840|G2295_SLE_2012|Human|Sierra_Leone|2012-01-31	8.184479	-11.134313
KM821864|G2587_SLE_2012|Human|Sierra_Leone|2012-07-04	8.184479	-11.134313
KM821883|G3016_SLE_2013|Human|Sierra_Leone|2013-02-14	7.862212	-11.196247
KM821866|G2612_SLE_2012|Human|Sierra_Leone|2012-07-23	7.862212	-11.196247
KM821838|G2280_SLE_2012|Human|Sierra_Leone|2012-01-23	7.862212	-11.196247
KM821891|G3148_SLE_2013|Human|Sierra_Leone|2013-06-01	8.184479	-11.134313
KM821809|G1727_SLE_2011|Human|Sierra_Leone|2011-05-31	8.184479	-11.134313
KM821795|G1190_SLE_2010|Human|Sierra_Leone|2010-09-09	7.862212	-11.196247
KM821879|G2944_SLE_2012|Human|Sierra_Leone|2012-12-05	7.862212	-11.196247
