node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,genotype
5,4,16.754136197978,10.9360986207577,13.0390562433799,10.686987,13.272643,16.754136197978,0,1949.23754731127,1965.99168350924,100100000,1
5,6,51.6717784061565,10.9360986207577,13.0390562433799,7.87559988493805,4.64842242323961,51.6717784061565,0,1949.23754731127,2000.90932571742,100100000,1
6,3,8.28454358417134,7.87559988493805,4.64842242323961,7.6833,4.6167,59.9563219903278,51.6717784061565,2000.90932571742,2009.19386930159,100100000,1
6,7,11.3776437445734,7.87559988493805,4.64842242323961,7.89887686350334,5.1581718898556,63.0494221507299,51.6717784061565,2000.90932571742,2012.286969462,100100000,1
7,1,3.7485496636865,7.89887686350334,5.1581718898556,7.525829,5.762072,66.7979718144164,63.0494221507299,2012.286969462,2016.03551912568,100100000,1
7,2,0.740233172931192,7.89887686350334,5.1581718898556,7.845422,5.182916,63.7896553236611,63.0494221507299,2012.286969462,2013.02720263493,100100000,1
166,320,71.686189458308,6.03587837600779,7.85931932232279,6.08313720382125,7.87471790286101,71.686189458308,0,1797.57446883404,1869.26065829235,550900000,2
166,167,47.2800923128677,6.03587837600779,7.85931932232279,6.06237644587546,7.84005783911435,47.2800923128677,0,1797.57446883404,1844.85456114691,550900000,2
167,168,117.254239000629,6.06237644587546,7.84005783911435,6.07029892370245,7.80311306164951,164.534331313497,47.2800923128677,1844.85456114691,1962.10880014754,550900000,2
167,180,45.0013775685507,6.06237644587546,7.84005783911435,6.13719182052651,6.79590593197681,92.2814698814184,47.2800923128677,1844.85456114691,1889.85593871546,550900000,2
168,8,55.9240765647919,6.07029892370245,7.80311306164951,5.967,7.867,220.458407878289,164.534331313497,1962.10880014754,2018.03287671233,550900000,2
168,169,31.8606378637671,6.07029892370245,7.80311306164951,6.3398577170732,8.11082148649929,196.394969177264,164.534331313497,1962.10880014754,1993.9694380113,550900000,2
169,171,7.69342159391528,6.3398577170732,8.11082148649929,6.34317147363406,8.10625876319068,204.088390771179,196.394969177264,1993.9694380113,2001.66285960522,550900000,2
169,170,9.19856980943251,6.3398577170732,8.11082148649929,6.33215514085996,8.10535484977488,205.593538986697,196.394969177264,1993.9694380113,2003.16800782074,550900000,2
170,10,14.9470606724142,6.33215514085996,8.10535484977488,6.32994661845454,8.10351985103383,220.540599659111,205.593538986697,2003.16800782074,2018.11506849315,550900000,2
170,9,5.00685556724174,6.33215514085996,8.10535484977488,6.33351675256245,8.10384599407393,210.600394553938,205.593538986697,2003.16800782074,2008.17486338798,550900000,2
171,174,0.854741087058176,6.34317147363406,8.10625876319068,6.33897369380268,8.10513203314382,204.943131858238,204.088390771179,2001.66285960522,2002.51760069228,550900000,2
171,172,0.896378378850329,6.34317147363406,8.10625876319068,6.34554144787039,8.10260478438968,204.98476915003,204.088390771179,2001.66285960522,2002.55923798407,550900000,2
172,13,11.8051455775743,6.34554144787039,8.10260478438968,6.33658642299831,8.10468928747789,216.789914727604,204.98476915003,2002.55923798407,2014.36438356164,550900000,2
172,173,3.00404620926123,6.34554144787039,8.10260478438968,6.46244496952994,8.20692725295026,207.988815359291,204.98476915003,2002.55923798407,2005.56328419333,550900000,2
173,11,12.5024692313268,6.46244496952994,8.20692725295026,6.556183,8.303293,220.491284590618,207.988815359291,2005.56328419333,2018.06575342466,550900000,2
173,12,12.4969897792721,6.46244496952994,8.20692725295026,6.032415,7.850118,220.485805138563,207.988815359291,2005.56328419333,2018.0602739726,550900000,2
174,175,3.67865517149152,6.33897369380268,8.10513203314382,6.32919771703391,8.10796130993245,208.621787029729,204.943131858238,2002.51760069228,2006.19625586377,550900000,2
174,14,10.5481527323802,6.33897369380268,8.10513203314382,6.32835866750654,8.09903968267306,215.491284590618,204.943131858238,2002.51760069228,2013.06575342466,550900000,2
175,176,3.96054326984437,6.32919771703391,8.10796130993245,6.33336702600201,8.10294006400864,212.582330299573,208.621787029729,2006.19625586377,2010.15679913361,550900000,2
175,20,11.9051139992447,6.32919771703391,8.10796130993245,6.1878,8.1189,220.526901028974,208.621787029729,2006.19625586377,2018.10136986301,550900000,2
176,177,0.838504828028887,6.33336702600201,8.10294006400864,6.33372475946888,8.09879003911558,213.420835127602,212.582330299573,2010.15679913361,2010.99530396164,550900000,2
176,179,7.71934745762439,6.33336702600201,8.10294006400864,6.12608829596113,8.00840193655181,220.301677757198,212.582330299573,2010.15679913361,2017.87614659124,550900000,2
177,15,7.10606590137149,6.33372475946888,8.09879003911558,6.33350545609277,8.09998513690774,220.526901028974,213.420835127602,2010.99530396164,2018.10136986301,550900000,2
177,178,6.33274833960871,6.33372475946888,8.09879003911558,6.33063536137197,8.10249511254811,219.753583467211,213.420835127602,2010.99530396164,2017.32805230125,550900000,2
178,16,0.751399753543687,6.33063536137197,8.10249511254811,6.340038,8.129261,220.504983220755,219.753583467211,2017.32805230125,2018.07945205479,550900000,2
178,17,0.781536739845073,6.33063536137197,8.10249511254811,6.33370469748659,8.10053831743654,220.535120207056,219.753583467211,2017.32805230125,2018.1095890411,550900000,2
179,19,0.247141079995304,6.12608829596113,8.00840193655181,6.128725,8.00679,220.548818837193,220.301677757198,2017.87614659124,2018.12328767123,550900000,2
179,18,1.25536025807738,6.12608829596113,8.00840193655181,5.889345,7.953555,221.557038015275,220.301677757198,2017.87614659124,2019.13150684931,550900000,2
180,181,66.535273685057,6.13719182052651,6.79590593197681,6.18003412634575,6.79627773192168,158.816743566475,92.2814698814184,1889.85593871546,1956.39121240052,550900000,2
