segment_L,accession_L,country,admin1,location,latitude,longitude
LASV|NGA|2019|IRR_0063|2018-12-31,LASV|NGA|2019|IRR_0063|2018-12-31,NGA,Ondo,Owo,7.19744,5.58653
AY693637|Nig04-010|Human|Nigeria|2004,AY693637,NGA,,,NA,NA
AY693639|las806791|Human|Nigeria|1993,AY693639,NGA,Plateau,Jos,9.916667,8.890278
AY693640|las803213|Human|Nigeria|1974-02,AY693640,NGA,Anambra,Onitsha,6.166667,6.783333
AY870334|Lib04-2739|Human|Liberia|2004,AY870334,LBR,,,NA,NA
GU481075|Nig08_A37|Human|Nigeria|2008-02,GU481075,NGA,Edo,Irrua,6.738429,6.221953
GU481077|Nig08_A41|Human|Nigeria|2008-02,GU481077,NGA,Edo,Irrua,6.738429,6.221953
GU481079|Nig08_A47|Human|Nigeria|2008-02,GU481079,NGA,Edo,Uromi,6.712259,6.329005
GU573541|Soromba_R240|Mouse|Mali|2009,GU573541,MLI,,Soromba,10.5891,-7.1558
GU573545|Soromba_R245|Mouse|Mali|2009,GU573545,MLI,,Soromba,10.5891,-7.1558
GU573546|Soromba_R249|Mouse|Mali|2009,GU573546,MLI,,Soromba,10.5891,-7.1558
GU979510|Lib05-2096/127|Human|Liberia|2005,GU979510,LBR,,,NA,NA
GU979513|BA366|Mouse|Guinea|2003,GU979513,GIN,Faranah,Bantou,10.059767,-10.58615
KF478760|Komina_R16|Mouse|Mali|2012-03-03,KF478760,MLI,,Komina,10.6164,-7.1583
KF478761|Bamba_R114|Mouse|Mali|2012-03,KF478761,MLI,,Bamba,10.3831,-7.1517
KM821772|G502_SLE_2009|Human|Sierra_Leone|2009-04-29,KM821772,SLE,Kenema,Kenema,7.862212,-11.196247
KM821774|G503_SLE_2009|Human|Sierra_Leone|2009-04-30,KM821774,SLE,Kenema,Tongo,8.2188562,-11.0604289
KM821776|G610_SLE_2009|Human|Sierra_Leone|2009-08-28,KM821776,SLE,Kenema,Tongo,8.2188562,-11.0604289
KM821778|G636_SLE_2009|Human|Sierra_Leone|2009-10-09,KM821778,SLE,Kenema,Kono Gorama,8.38727,-11.0879
KM821780|G676_SLE_2009|Human|Sierra_Leone|2009-12-09,KM821780,SLE,Kenema,Dodo,8.154893,-11.171735
KM821782|G692_SLE_2009|Human|Sierra_Leone|2009-12-31,KM821782,SLE,Kenema,,NA,NA
KM821784|G693_SLE_2009|Human|Sierra_Leone|2010-01-01,KM821784,SLE,Kenema,Tongo,8.2188562,-11.0604289
