trait	latitude	longitude
LASV_NGA_2016_IRR_023_NGA-Kaduna_Kaduna_Hs_2016-02-23	10.523056	7.440278
GU481071|Nig08_A18|Human|Nigeria|2008-02	9.916667	8.890278
GU481073|Nig08_A19|Human|Nigeria|2008-02	9.916667	8.890278
AY693639|las806791|Human|Nigeria|1993	9.916667	8.890278
LASV_NGA_2016_IRR_010_NGA-Taraba_Kwesati_Hs_2016-01-22	7.213958	10.183256
LASV_NGA_2018_IRR_025_NGA-Imo_Orlu_Hs_2018-01-19	5.79449	7.03589
LASV_NGA_2016_IRR_025_NGA-Benue_Oiji_Hs_2016-02-26	7.565864	7.917972
LASV_NGA_2016_IRR_016_NGA-Nassarawa_Kwarra_Hs_2016-02-06	8.325363	8.450158
ONM-700_NGA-Benue_COORDINATES_Me_2012-10-29	7.6333	8.4
ONM-299_NGA-Benue_COORDINATES_Me_2011-10-23	7.6333	8.4
ONM-314_NGA-Benue_COORDINATES_Me_2011-10-24	7.6333	8.4
LASV_NGA_2016_IRR_032_NGA-Nassarawa_Lafia_Hs_2016-03-13	8.49575	8.52155
LASV_NGA_2016_IRR_008_NGA-Nassarawa_Lafia_Hs_2016-01-20	8.49575	8.52155
LASV_NGA_2015_IRR_014_NGA-Nassarawa_Agyaragu_Hs_2015-12-30	8.4	8.55
LASV_NGA_2014_IRR_002_NGA-Nassarawa_Lafia_Hs_2014-01-20	8.49575	8.52155
LASV_NGA_2016_IRR_020_NGA-Nassarawa_Lafia_Hs_2016-02-15	8.49575	8.52155
LASV_NGA_2016_IRR_015_NGA-Nassarawa_Lafia_Hs_2016-02-03	8.49575	8.52155
LASV_NGA_2017_IRR_001_NGA-Nassarawa_NA_Hs_2017-01-24	8.49575	8.52155
LASV_NGA_2016_IRR_012_NGA-Bauchi_TafawaBalewa_Hs_2016-01-25	9.755908	9.553992
LASV|NGA|2019|IRR_0070|2019-02-08	7.336619	9.002272
LASV_NGA_2016_IRR_014_NGA-Bauchi_Alkaleri_Hs_2016-01-28	10.26878	10.33279
LASV_NGA_2015_IRR_008_NGA-Bauchi_Alkaleri_Hs_2015-04-10	10.26878	10.33279
LASV_NGA_2016_IRR_009_NGA-Plateau_Shendam_Hs_2016-01-20	8.87931	9.53879
LASV_NGA_2016_IRR_003_NGA-Plateau_Kumbul_Hs_2016-01-04	9.383	9.133
LASV_NGA_2018_IRR_054_NGA-Bauchi_Kufai_Hs_2018-02-04	9.983	9.233
LASV_NGA_2018_IRR_086_NGA-Bauchi_Wandi_Hs_2018-02-08	9.960813	9.502202
LASV_NGA_2013_IRR_014_NGA-Bauchi_Bauchi_Hs_2013-11-23	10.314159	9.846282
LASV_NGA_2013_IRR_016_NGA-Bauchi_Bauchi_Hs_2013-12-08	10.314159	9.846282
LASV_NGA_2015_IRR_009_NGA-Bauchi_Mbal_Hs_2015-04-25	9.595820427	9.617159843
LASV_NGA_2018_IRR_001_NGA-Bauchi_LimanKatagum_Hs_2018-01-02	10.093735	9.767931
LASV_NGA_2016_IRR_028_NGA-Bauchi_SabonGari_Hs_2016-02-29	10.675453	9.122348
LASV_NGA_2016_IRR_019_NGA-Bauchi_LimanKatagum_Hs_2016-01-12	10.093735	9.767931
