Main_rivers_S3_k10,Main_rivers_S3_k100,Main_rivers_S3_k1000,Main_rivers_S3_k10000,Main_rivers_S4_k10,Main_rivers_S4_k100,Main_rivers_S4_k1000,Main_rivers_S4_k10000,Main_rivers_S5_k10,Main_rivers_S5_k100,Main_rivers_S5_k1000,Main_rivers_S5_k10000
10746.7617536556,14639.9740905393,30499.8196129292,74339.0677247707,10371.9800077251,12557.3942212874,24314.9500628585,48764.2331701994,10219.8378721014,11479.8378721013,20865.482891979,23625.7804333481
10492.7890988661,14252.3862120607,29502.7515037104,64303.7569748665,10131.4997769847,12338.2155057372,24310.4992693699,44221.539736026,9993.00230230167,11433.0023023016,21589.1712755211,24327.0840405793
10718.5729368376,14407.3344802325,31359.8406820164,97787.958851542,10361.6440046495,12470.5779874715,26269.1418382693,73312.8097219209,10225.5729368377,11485.5729368376,20951.6859941468,23707.4982541417
10628.5586514878,14534.9303679379,32412.9650660832,89898.800697468,10306.6002820481,12733.4631970582,27120.1460223516,69403.8656378328,10156.7007871115,11596.7007871114,21466.4820254272,24205.846450526
10761.2592283387,14905.5994154963,31241.8196129293,75276.0454301952,10392.2470350299,12847.5018690257,26076.2292834723,59470.9367056454,10207.2764722814,11647.2764722813,21617.876036454,24292.1866376837
10202.298766858,13704.7171645023,27352.4924856324,66229.8499783171,9867.06831947967,11773.8601666779,22927.8453737132,51564.0978183148,9750.9972516678,10920.9972516677,19541.2310165759,22298.5996257569
10205.2520856637,13893.1629073572,29795.4466709899,99832.086342879,9839.90893991323,11675.4459531155,23155.3437149481,60462.0082810701,9726.42365853899,10806.4236585389,18818.7162979503,21464.1568414948
10197.7890988661,13977.5161543755,28234.5261069658,66724.0530804828,9828.4926343098,11882.4682476921,22624.1245943266,46383.6764620758,9698.59313937319,10868.5931393731,19231.7356339339,21830.2644892331
10114.7718549234,13747.4989104329,29522.8234380741,90883.1098629468,9792.08556342237,11834.911898506,24776.1031663019,71395.284543091,9665.42870917287,10835.4287091728,19458.7335418928,22206.0605205135
10568.5191129685,14234.5943648623,31093.1564825565,93210.6716217021,10228.3231534756,12310.1810178518,25689.8575670219,68229.7437047434,10086.9089399132,11346.9089399131,20618.7722138603,23421.5794232213
10610.5069196597,14854.3883041017,33142.5769722422,99697.2809282073,10223.4409024817,12475.475390367,25133.7175234392,58610.7924779785,10075.7840482322,11335.7840482321,20616.7183899911,23369.6017177979
10164.8896039295,13879.8349135084,28355.6144187205,66616.5038739727,9835.86521731183,11912.6692578189,22747.8403230793,46114.227760628,9685.62257662471,10855.6225766247,19222.6574234471,21310.9680246768
10470.234841721,14342.8025176641,31321.769614205,97635.5618819266,10091.1637739092,12206.5657941627,25998.6788514719,72939.9792027573,9952.50691965967,11212.5069196596,20610.4160082492,23352.6088604728
10140.9017972383,13779.3445815003,29564.2944340982,82707.8339598624,9788.78909886608,11763.350498686,24344.0564851077,58086.5010640572,9669.09061405625,10929.0906140562,20601.3315216392,23483.9002743952
10467.7525189396,14400.1385207396,32358.3528009873,99705.5509141061,10100.5342648701,12318.7129804203,26938.1838277674,74659.0393027486,9973.63476993353,11450.913990547,22698.7868581477,34993.9389463662
10522.3353467844,14509.3517241752,31437.0580695342,88911.5610153714,10143.6124753569,12360.1444379254,25435.4261095169,63503.863545791,9996.95562110746,11256.9556211074,20805.088880952,23521.4250942888
10454.0266889193,14238.3517241752,30329.9789924959,83420.6543777636,10107.5414075451,12181.8479733691,25190.9673068014,63087.4522908236,9967.32820410949,11227.3282041094,20548.3083605109,23291.3296398593
10532.2642789725,14226.9669478644,29340.1707679066,68841.1173645593,10158.4997769847,12256.2033124284,23897.0169465884,48516.6848302411,10016.5292142363,11276.5292142362,20767.0270478562,23568.2779080311
10635.3546827682,14291.6380874637,29368.0164389741,73424.7620255006,10278.3841200197,12307.862258719,24330.7936418852,53427.674728975,10151.9699064573,11411.9699064573,20896.9113908912,23657.6942136346
10390.4774824081,14137.3639174841,28928.7645635713,81201.2175106882,9978.96781441627,11956.541407545,23176.8971055414,56216.5048892018,9837.5536008539,10917.5536008538,19081.9366440607,21778.8746622884
10690.796241541,14238.7659377376,28975.622427947,72693.0055327363,10326.6541059173,12399.9606717413,24506.968173353,57851.9598667717,10186.7546109807,11356.7546109806,20260.2230073492,23000.1732188857
