Main_rivers_S3_k10,Main_rivers_S3_k100,Main_rivers_S3_k1000,Main_rivers_S3_k10000,Main_rivers_S4_k10,Main_rivers_S4_k100,Main_rivers_S4_k1000,Main_rivers_S4_k10000,Main_rivers_S5_k10,Main_rivers_S5_k100,Main_rivers_S5_k1000,Main_rivers_S5_k10000
8536.78996541787,13775.0052608944,44415.1660762112,248106.96527635,8321.32907066126,11750.2470350297,29677.960523064,128799.841758825,7965.66002310296,9246.03469814599,16985.6535983027,28024.6997718819
9262.1663735645,12970.9981182195,30789.1160774857,110271.833600923,9041.97041407159,11750.6020151516,24861.7486937943,74824.6285553907,8842.27192926176,10288.5978310695,17600.2756057292,23773.5740136495
7043.27402130283,9405.89133703296,20102.0068453213,74712.3999897963,6915.51666198996,8292.95526216992,15066.1238764522,60683.9139905469,6729.23239074249,6909.23239074248,8356.41110629257,8785.19198567139
7646.21218820696,9785.94725294322,20242.4534547278,38215.4296373102,7467.38376108222,8965.67308296354,16704.2095885514,24232.5630458311,7399.17055764664,8469.72185619883,13608.1637739091,14310.0354160209
7669.44263558525,10264.3837610821,26614.5468171157,63175.9423870597,7456.61420846051,9203.85684914748,24045.8277708326,54087.0115115078,7436.02842202288,9135.54819128238,23917.0439328611,48857.3512781436
7912.26897066894,9947.40518910698,22583.4059069816,85000.9229894899,7764.64155367097,9062.69032690624,18169.241117844,52353.3242918711,7684.94306886114,8322.41615692653,13961.7971080925,16294.5025869006
8249.52676325771,11270.4548288939,28932.4585053612,106966.769527112,8021.25468531907,9919.91363160952,23693.8643507594,68289.965276344,7982.42625819432,9596.86990900813,22338.9484784318,62997.5149904692
8632.98888350358,12104.5595180394,29965.0147058711,83566.808496434,8326.3614665056,10537.8416972459,24471.1223536096,55030.854818693,8251.63354444425,9944.99602617844,19727.6022254124,48388.2035226917
8448.41319833371,11765.1230099005,28291.6518651988,97075.5308602429,8242.59696451779,10015.9573542109,18276.5598769768,36614.5785566693,8044.21218820694,8899.21218820689,15218.8113934423,21540.3881554244
7674.45482889409,9963.13101912724,17506.1052583434,37585.3679528886,7432.95735421103,8910.86399182251,14562.7486937949,25098.5299321103,7381.61420846052,8364.55533395743,12240.5393155038,17006.7427766088
7109.51875403101,9581.79710809275,24140.8593001257,89723.7292707162,6860.14617102899,7865.81016795339,16639.2357082726,30994.2441380214,6839.51875403102,7713.15836433777,16449.5544674053,25550.3052532422
6601.63231895501,8825.27106270997,20047.9068478719,81272.3716293561,6395.04653251739,7638.11254969533,15528.18989363,48750.2186745881,6321.31861045603,7041.31861045598,12786.44977826,16686.1615331913
7308.91363160963,10412.1360697611,22814.2973926916,71464.1298552237,7008.40396361776,8751.97964878756,17983.8025176639,43453.7657890607,6948.74710936826,8462.5927804356,16360.3181028414,39813.9815921516
6233.78960648039,8844.90439689355,24851.3689681177,131439.938649005,6078.17438279123,7905.75006796101,21970.8194026687,114281.551421714,5995.86067429224,7495.56926036976,20463.7584361247,100584.146381283
8133.26182799401,10181.9308755522,22401.0430663098,46217.5305013095,7982.83037048894,9609.26897066893,20659.7121138682,38284.5949340612,7931.11464173641,9394.72481479161,17966.4109576156,33005.5100885138
7750.83960520494,10902.3097346774,36869.8168030133,205187.27052958,7596.21218820696,10262.2853480598,34570.4816664895,187218.648311893,7459.55533395747,9251.83455457097,27014.8289963221,110448.80849643
7339.9451609022,10198.4863581866,23832.7011460486,99154.2916857697,6982.6020151517,8116.31983594523,15938.4673811397,40770.6555416675,6950.91572365069,7868.43044227637,15115.6318113404,32866.2237252253
7463.39177030892,10477.2832560187,30109.3625433181,97757.557846523,7353.23744137637,9877.32070249694,28499.0383746136,95339.2139828975,7300.62221768722,9418.04862455833,26796.0047532801,86896.0416921477
7076.23744137638,9092.36947573223,18690.0275554706,51979.1970978887,6857.80389183026,8038.16428152343,15610.6579310618,29688.7640559574,6835.93383414517,7945.6617562065,15009.0944392007,26357.1249532649
7047.76435331097,9286.31983594523,17981.6288527477,49390.6341136429,6918.63441099606,8468.87409309028,15390.2663710133,32569.8734367979,6796.24963468521,7876.24963468516,14287.8012921747,25094.7339008299
6259.39263686074,8289.20800412487,15862.7150724613,40202.4108089415,5978.73578261125,6910.64956289774,12184.6852762723,22237.0702628445,5919.17943342515,6459.17943342514,10903.7622612698,14424.1103089775
8518.42452509076,10714.5830381054,18520.0312319384,34143.2857685812,8215.1057659579,9289.86521731177,16221.8117523797,26221.96124094,8138.31896939349,8831.95857970023,15167.2776977703,21701.4651404219
8893.93924371654,11199.357641361,25924.106991447,81191.5004077713,8590.58390465721,9686.03974877986,19957.0418408202,32439.2831689258,8558.86817590468,9638.86817590461,19539.6793590861,26703.3627535785
7613.93087555233,10735.0519420886,22565.0652122097,48247.9389463627,7347.10244842759,9063.22734010852,17498.4139162085,24169.397031204,7257.16132293063,8407.52885529871,15125.4837585311,16094.4181002907
7184.18275095544,9573.10158187577,20174.0930650348,57470.3472427407,6960.31269327035,8171.88123576525,16332.2886655901,34309.7548212409,6868.28325601883,7741.9228663256,14528.4694731814,20938.3155031858
7064.03938984245,9871.48008206352,27311.0775541961,122233.08634289,6725.95612872175,7731.74292528611,14349.7786386605,26663.7206922937,6675.44141009599,7363.31651841492,13128.5541084679,22434.5710550574
6992.77654661978,10313.0528086404,21256.6539572401,63951.2005640934,6759.50446868114,8752.17560828041,17310.8596590633,46257.3402487398,6625.53390593267,7957.37452636612,13720.7335418931,23975.2129060809
8532.53809001474,11875.1057659578,28480.0282733456,83000.7233535333,8357.68022563846,10497.3858531231,21900.9963851156,47897.1020023986,8184.04061533168,9354.04061533161,18334.3374388252,31505.9927702321
8692.84970647268,11022.3076426364,21666.7709883713,51513.7794181173,8456.56543522522,9983.74920140921,20037.4043225548,49157.3535188604,8351.26392003506,9370.51161135599,17680.8660838633,30495.7316601119
8007.62936036216,10744.6061992338,22282.8810870887,75146.7724241261,7807.61716705335,9327.21514679973,15006.2714216473,31252.0782720692,7717.65879761369,8499.58267916788,13659.8681759044,28535.1367876347
7874.27192926179,10179.7462428164,22972.7793565353,58838.2255199114,7668.24754264415,9110.03643124953,18705.1902525673,30768.5292758196,7637.66175620652,8883.66889888137,17965.5232970501,26753.9326702392
