Main_rivers_S3_k10,Main_rivers_S3_k100,Main_rivers_S3_k1000,Main_rivers_S3_k10000,Main_rivers_S4_k10,Main_rivers_S4_k100,Main_rivers_S4_k1000,Main_rivers_S4_k10000,Main_rivers_S5_k10,Main_rivers_S5_k100,Main_rivers_S5_k1000,Main_rivers_S5_k10000
11732.6502807727,15595.8991975828,31420.4773337303,122913.226386458,11346.4025894517,13071.998477157,26427.2444353737,98720.6773286248,11191.0178131408,12001.0178131408,18071.0476093295,20274.4869273847
12929.0585771493,17747.1014331988,39609.0587874092,152601.949468148,12442.9631227198,14769.9214921594,31818.4562646433,111571.607337627,12271.9631227198,13615.3428483967,24138.7619639157,41638.3375004078
11728.3344802326,15841.9551134931,33095.0328163648,133293.573716292,11300.1090834882,13489.1801513,29129.5875811242,123847.873288118,11080.1090834882,11890.1090834882,17887.133829043,20210.7812998999
11873.6746673903,16029.2587207243,33073.5466684392,119852.246947938,11399.2898910795,13218.5426330343,26312.6771183681,80449.1566928151,11264.0472503923,12344.0472503923,19925.149339882,21902.3763210535
11601.07163701,15535.3844789571,31363.210306426,123207.186847943,11187.3559082574,13118.6309447889,27815.5926317584,113947.223576546,11009.5985489446,11819.5985489445,17997.0324574278,20371.5916165302
12068.8929214598,16574.4841174686,36199.5517190722,172300.295362225,11553.2482605191,13455.4736572635,27229.7561954066,117174.269032246,11370.7924163964,12199.4320267031,19749.5593693623,48941.6278375165
11607.8390975906,15969.8403230798,34642.8847635555,152522.349186101,11169.2360672103,13364.0573516601,29111.5269735176,127657.120979439,10980.4492706459,11917.7284912594,19760.9525138377,49159.6341136398
11433.9984771571,15478.7297167487,31567.8056865169,127207.96231775,11002.9446532879,12951.5182464167,27810.9979695422,117757.9544572,10813.9030227276,11623.9030227276,17543.8121113173,19520.3569850698
12066.8605256154,16813.336931211,38065.0302167093,161746.365055874,11641.4168748015,14124.0493424333,33653.2489783931,151596.723502202,11454.446312053,12870.0148545479,23774.3688194408,57869.4893783622
11347.9913344821,16401.0240892638,41570.4116754898,224160.605245582,10915.121276797,13663.677625983,35686.3318805759,198935.576823555,10665.6065581713,11917.8857787848,23707.7401769532,85111.2543879596
12126.2209153086,16950.3937136731,39000.4865684468,189079.239805258,11593.7528778771,13663.189386016,30758.6981874556,143835.45193188,11392.7823151286,12247.7823151286,19754.63635436,35425.7812998986
11812.7171645024,16448.3003512845,35468.0108807258,145532.70993473,11371.3618254431,13761.5354903593,30611.455905706,134717.306837664,11140.0481169441,12167.3273375576,20909.4701910561,50343.1425561433
11851.5346238076,15825.2536700904,32956.4301449224,137700.871047406,11439.4879426134,13427.94883737,27875.9554724305,113243.331224289,11275.3752442412,12220.3752442412,19419.0092962994,34842.8809384102
