Main_rivers_S3_k10,Main_rivers_S3_k100,Main_rivers_S3_k1000,Main_rivers_S3_k10000,Main_rivers_S4_k10,Main_rivers_S4_k100,Main_rivers_S4_k1000,Main_rivers_S4_k10000,Main_rivers_S5_k10,Main_rivers_S5_k100,Main_rivers_S5_k1000,Main_rivers_S5_k10000,Main_rivers_S6_k10,Main_rivers_S6_k100,Main_rivers_S6_k1000,Main_rivers_S6_k10000,Main_rivers_S7_k10,Main_rivers_S7_k100,Main_rivers_S7_k1000,Main_rivers_S7_k10000
16597.8326727906,22356.0420510815,42190.0464454235,95456.9068223604,15939.9920523571,18754.7372183611,32068.644573847,56964.5937701532,15713.9504217967,17243.9504217967,27981.3813716871,31108.7154929825,15713.9504217967,17243.9504217967,26471.9666505105,27201.3690297017,15653.9504217967,16643.9504217967,21420.7884425749,21420.7884425749
16945.4062659194,22483.2136239568,42012.7285528426,86974.5333728096,16345.7443610361,19276.1758185411,34540.838441299,64443.3330189744,16128.619469355,17928.6194693549,30300.1235790982,33483.1014947826,16128.619469355,17928.6194693549,28390.3526523106,29121.4118857513,16058.619469355,17228.619469355,22752.1164364237,22752.1164364237
16994.2153570604,23111.0134803818,49667.2016409073,166739.633877865,16379.5118216167,19836.3747366268,40823.7694655275,129342.406178821,16127.683394492,17893.6022254123,31591.8295655208,53483.2772517384,16127.683394492,17893.6022254123,29674.3185233631,49105.0191002122,16057.683394492,17193.6022254123,23944.7685989773,42648.0667966351
16958.1859198089,22880.7830330034,46270.529993694,122976.183084383,16331.9971029909,19565.9605230644,38216.2698988039,99489.2009846164,16115.7838995553,17915.7838995552,30014.7997693314,33196.9867043693,16115.7838995553,17915.7838995552,28130.262248515,28858.4930548309,16045.7838995553,17215.7838995553,22731.0382259369,22731.0382259369
17559.0681708028,23949.1345469182,49672.0178747239,162364.800400113,16883.2397436781,20412.9941443981,40431.8506346078,119815.769527113,16564.0265402425,18364.0265402424,30577.7602308121,33694.8933419809,16564.0265402425,18364.0265402424,28618.5709063801,29343.9732855713,16494.0265402425,17664.0265402424,23189.5235073111,23189.5235073111
17459.1362800218,23164.7426279323,46660.1974568258,132894.010644956,16875.1779105822,19933.1951545248,38705.1399564889,100533.160579544,16655.8642020832,18455.8642020831,31142.328773307,34340.5198924271,16655.8642020832,18455.8642020831,28827.7365620696,29555.9673683856,16575.8642020832,17655.8642020832,22789.3956570373,22789.3956570373
17356.5555442181,23915.4806512614,53590.4509166552,197491.48854788,16671.9403205289,20004.3839713428,39838.4477478022,115086.439800155,16438.7271170934,18302.3667274001,31863.1828125388,48616.1939906179,16438.7271170934,18302.3667274001,29446.6036611619,43843.2394463229,16358.7271170934,17502.3667274001,23646.2770414793,37316.6820203244
17084.4701910563,22874.8612434902,43275.929562969,88784.7061711709,16387.742268995,19393.0021536247,35319.696305675,65424.4377081166,16189.7717062465,17989.7717062464,30645.7509960961,33687.8100808602,16189.7717062465,17989.7717062464,28193.7374286214,28923.9682349374,16109.7717062465,17189.7717062465,22375.3103038755,22375.3103038755
17301.7737982876,23397.2430612082,49534.7722754438,158659.350832113,16721.2418357191,20077.4844764062,41845.4435637202,135275.560507757,16445.2296424103,18290.2296424102,32030.9641995318,48719.1136880922,16445.2296424103,18290.2296424102,29666.2227099958,43895.6250891877,16365.2296424103,17490.2296424103,23613.5458018878,37113.5458018885
16160.6863530848,21427.3810127498,46062.7008486941,159124.425366126,15578.9462377146,18494.794000823,38036.0596539608,122350.809932178,15393.2893834651,17076.9289937718,29747.3864223208,46779.4972389117,15393.2893834651,17076.9289937718,27912.9363467072,42430.2340367516,15323.2893834651,16376.9289937719,22296.3325984521,36086.2279093054
17299.362543318,24539.6480400545,57281.7113088994,237494.971972984,16605.2254583282,20157.2031637515,41037.7093655355,138503.995790406,16297.3554006431,18097.3554006431,31944.9730753108,62140.678913062,16297.3554006431,18097.3554006431,30060.3564774558,57790.5872837771,16227.3554006431,17397.3554006431,24496.7476785669,51496.7476785722
16599.683394492,22244.7527292001,43850.9058942265,120511.159564313,16021.369685993,18980.0164389746,36258.1183797872,97798.2892963669,15820.369685993,17668.5677375268,31972.3669376601,67167.2263864608,15820.369685993,17668.5677375268,30074.5787669299,63269.821048677,15750.369685993,16968.5677375269,24853.0460864866,57537.1572004294
16804.9920523571,23052.7851250445,48716.4993309534,156920.518220907,16165.874303351,19446.6245199889,39636.6752365876,119080.129050252,15912.3473914164,17712.3473914164,30029.3573440068,33212.3727061695,15912.3473914164,17712.3473914164,28105.0553212025,28832.4577003938,15842.3473914164,17012.3473914164,22464.0150648085,22464.0150648085
16868.5727881608,23125.5180977397,50698.7630407275,181495.202420363,16231.3423407825,19469.5656454857,39722.3186720387,123948.317867066,15996.5311576005,17841.5311576004,31458.2657147217,48278.0001231661,15996.5311576005,17841.5311576004,29649.143632957,43877.3744392717,15926.5311576005,17141.5311576004,23756.8413998921,37256.8413998909
17295.0143469336,23712.1740854374,52646.4937727055,185170.691019271,16583.4651404225,19948.2174491014,42613.269750127,132505.813608648,16386.5950827374,18621.1535239645,34680.8849738164,56945.0867018253,16386.5950827374,18621.1535239645,32738.6876401576,52579.2549571702,16316.5950827374,17921.1535239645,27032.6524343975,46146.9889450941
