Main_rivers_S3_k10,Main_rivers_S3_k100,Main_rivers_S3_k1000,Main_rivers_S3_k10000,Main_rivers_S4_k10,Main_rivers_S4_k100,Main_rivers_S4_k1000,Main_rivers_S4_k10000,Main_rivers_S5_k10,Main_rivers_S5_k100,Main_rivers_S5_k1000,Main_rivers_S5_k10000
7284.14407898793,9553.59400592489,20357.3626919942,83740.6677349733,7075.62936036217,8187.51666198989,17691.2811639772,71044.6152852701,6972.97250611268,7422.97250611264,11476.9766901945,13281.191478057
8093.58982184286,10996.8042507676,24689.237292699,89741.02588395,7818.4232996015,9329.93296759331,20453.6196180314,70827.211890852,7703.18065891438,8486.8202692211,15043.0136290583,22248.3036688145
6890.9409768201,9129.74624281641,19490.00021026,78031.0554698775,6635.57344445197,7746.63231895495,17248.0536751917,70478.1989796667,6529.98765801434,6979.9876580143,10975.4548288938,12858.2797898116
6987.71558007569,9509.0132701212,20546.0725035616,78451.0605205156,6731.99985132316,7888.88715295092,16619.5574259981,55705.7847661056,6640.58563776078,7270.58563776076,11910.6499218349,13392.5274811326
6842.84047175672,9041.82741189605,19844.7676708407,83531.6017177964,6620.8110345052,7771.27192926174,17723.8648583738,75867.6985463914,6523.15418025571,6973.15418025566,11141.3320292538,13073.6544648547
7386.11969237029,9675.42243304963,20219.6002820474,95042.2641302907,7096.66384824759,8098.67604155636,15796.7836892943,67454.4168747987,6998.42120756047,7313.42120756044,10223.6650737367,15738.6023740887
6970.98765801433,9287.50865276322,19456.2520856632,85299.8448660964,6746.61507501231,7948.50237664009,16998.6903269058,77571.4879426108,6628.68614282417,7052.32575313094,10834.9585797002,25641.9333265295
6963.20086144993,9150.50865276323,17653.1789258106,70171.1148519974,6694.20591208383,7670.26478658687,15318.3450891145,62756.3458069894,6594.30641714721,6954.3064171472,10022.886286399,11091.1831098929
7628.00908603913,10266.7382335897,22067.5144212715,77095.8072709426,7380.76644535202,8735.4649301618,19310.0876554629,68769.8654275701,7286.10959110252,8069.74920140927,14237.6511473241,20891.1207691822
6937.44350213705,9413.34422256286,22842.4909012059,109772.12776318,6671.80389183027,8046.79884119632,20168.7697628817,96926.8032355352,6554.21810539264,7176.49732600617,13155.2074965102,29114.4849840192
6914.19581081604,9274.96954751977,18629.1444379249,80524.4155006317,6609.34299707367,7606.25468531907,15760.5044686808,72642.5854890807,6506.44350213706,6821.44350213704,9920.49436741325,15878.0115370172
6479.24039996922,8678.55533395744,16063.1322446164,63041.2881579757,6229.08607103668,7155.23325729427,13135.5145699487,55309.1048994053,6127.60078966244,6307.60078966243,7865.29631587933,8881.06204335649
6883.94097682012,9249.90771442396,19922.2991257952,90830.621561399,6652.94097682012,7801.27907193674,17116.5250301541,77986.4727907145,6541.89934625978,6991.89934625975,10915.5717113482,20929.9232252622
6308.7500679611,8307.55324191639,17661.5300807875,79094.5543187262,6050.68405078314,7066.97337266445,15156.8110345048,67096.4858505695,5958.02719653364,6318.02719653363,9349.25172672606,10425.8328214674
6669.21810539262,9022.23953341733,19645.3891706528,80929.6854865282,6437.88001027601,7639.76731190374,16353.5015100877,68089.5194719021,6324.39472890177,6774.39472890173,10191.0031688533,11205.3546827681
7002.90439689365,9284.88628639912,18449.8164440762,79619.3015767734,6767.00490195704,7760.04653251736,15460.6394616297,67091.6868606984,6649.17647483229,6919.17647483227,9356.69241894718,10372.4581464243
