Main_rivers_S3_k10,Main_rivers_S3_k100,Main_rivers_S3_k1000,Main_rivers_S3_k10000,Main_rivers_S4_k10,Main_rivers_S4_k100,Main_rivers_S4_k1000,Main_rivers_S4_k10000,Main_rivers_S5_k10,Main_rivers_S5_k100,Main_rivers_S5_k1000,Main_rivers_S5_k10000,Main_rivers_S6_k10,Main_rivers_S6_k100,Main_rivers_S6_k1000,Main_rivers_S6_k10000,Main_rivers_S7_k10,Main_rivers_S7_k100,Main_rivers_S7_k1000,Main_rivers_S7_k10000
17159.4883015508,24006.9108832772,48108.7071248173,157873.489650205,16424.0862812973,19111.7035970273,32543.3582105581,68732.5979542347,16346.9441456735,18641.40504043,30285.9213434817,62953.3970927847,16304.600999923,18345.4811588757,29594.7997693311,58764.6952904446,16273.4294270478,18073.4294270476,25141.6496244812,52141.6496244788
18285.3747366268,24568.4714165453,53888.1415409152,198443.481999909,17810.1320959397,21349.0143469335,44491.621053781,150448.276236506,17561.3331060665,19546.2447943118,32181.6146289814,34044.0715499167,17506.362543318,19041.2742315633,26086.2188848512,26283.8626792402,17375.1909704427,17825.1909704427,19749.6240123746,19749.6240123746
17596.2153570604,25079.321271695,55994.4021434198,138510.164527855,17152.6245199889,21558.7859915962,44550.8830304515,101229.641887096,16735.2742315635,19042.0925574203,35904.2644892321,57045.2098603951,16630.4458044387,18250.4458044386,27961.0325190119,27961.0325190119,16451.7595129377,16541.7595129377,16742.8864966598,16742.8864966598
16966.7258916041,22143.4499885207,54267.7689579144,277044.552498535,16617.1745930519,19825.4731496491,40301.5499859693,163017.516933832,16340.789816741,17784.2629048063,25623.4654993595,28183.1171542986,16317.2750981152,17667.2750981151,23512.857777283,24566.7555391162,16257.2750981152,17067.2750981152,19534.8178798264,19534.8178798264
17985.5109550649,25787.2094398745,65721.9013512067,207181.496618695,17290.008429748,21995.3486169055,56316.7980362275,160667.035811035,16981.3099449381,19861.309944938,46882.1634765543,81607.1115089542,16977.9962364391,19857.996236439,41056.251342279,68123.9367672259,16689.7241585005,17094.7241585005,18974.1681682518,23474.1681682514
19261.1455147378,23693.6189617406,40534.0800667584,77292.1876274068,18711.447029928,21003.6064094943,32713.789668064,40948.1088477182,18608.5769722429,20104.8439995476,29757.9490476301,33461.3819408855,18559.0033791141,19819.003379114,27780.9393052999,28300.7693168517,18467.8318062388,18917.8318062388,20449.087865724,20449.087865724
17927.5076375346,24491.7717062464,57932.2615922233,162981.388560999,17425.1644917841,20986.8945058863,47577.4738675233,116773.794606094,17211.9807256,19840.6203359067,43504.2921933802,72860.5396489311,17200.2233662871,19738.8629765938,40584.7789105049,60535.8644739266,16943.3655019109,17303.3655019108,18706.0126138301,18706.0126138301
16157.4214178211,22040.8297141976,51995.1144059653,191220.263535578,15703.8823125777,19061.428560496,32869.5339675161,80489.8950750833,15447.0833227045,16978.7107397023,26226.2808666238,40887.9645584683,15437.0833227045,16922.0833227044,24810.7114575772,38957.6315139856,15395.9117498292,16520.9117498291,22227.5761056909,35727.5761056897
19264.3141290203,27608.0828150901,65908.8581978047,273751.474918835,18420.2603051511,21765.6379387868,37161.9229279086,66616.5443406269,18106.9344033433,19990.996236439,33538.830432072,57461.6425433885,18076.3486169057,19739.0378669994,29367.1647020444,31530.0980285756,17994.0054711551,18984.0054711551,22833.9157852344,22833.9157852344
17634.4458044387,25087.873436799,62976.1263890139,267866.09785439,16911.9483297556,19987.8835380668,37759.2888758495,62469.3276709849,16635.0193975675,18345.5635534447,34360.5841149167,42137.8250840849,16620.048834819,18330.0488348189,31383.5108063875,33673.461017924,16477.7056890685,16927.7056890685,19757.2531624761,19757.2531624761
18416.7737982875,25322.9507807339,48413.8466607863,150590.81937716,17751.4844764062,21104.373870075,34118.6095783476,54296.6408102886,17636.3839713428,20448.3595847251,31533.8661454472,39710.8482452151,17606.3839713428,20262.8276221566,30575.7336034771,36042.4378567975,17552.5849814696,19759.0286322834,25657.1352647933,30157.1352647948
16010.6851275955,22295.9504217965,47848.8527266479,205590.821110252,15291.655690344,17529.2069888961,29281.7464530765,64155.9651276651,15089.6434970352,16645.2658633991,27257.0458762256,48796.4282631404,15075.5013614114,16605.5013614113,25941.2387284491,44272.2004154175,14995.5013614115,15805.5013614114,18687.80532758,36687.8053275784
17521.4428458459,22281.005471155,38900.9788438189,104565.242107563,16945.2540290279,19357.8642020831,30044.3864223207,53709.0379285836,16773.496669715,18379.0185310157,26849.1286297321,28931.8626792401,16763.496669715,18362.4499885208,24159.1096526862,24934.2563313297,16703.496669715,17762.4499885208,20623.8292065835,20623.8292065835
20403.7098731506,28159.9894527015,59251.97140379,156429.170952655,19829.2662223367,24525.8591514492,46197.7499808674,91616.3243534541,19510.2296424102,22338.5139136577,36417.2354109185,62671.7430484535,19242.8743033509,20592.8743033508,29899.6339649653,49046.8306423337,19152.8743033509,19692.8743033508,22820.9225689718,31820.922568971
16760.4844764062,24301.3507089467,64929.2944956831,296842.806081532,16090.8032355391,20454.1463812895,46638.1103705611,150438.293244685,15896.8621100421,19477.862110042,39011.8564031165,87339.1404385926,15861.8621100421,19180.548401543,36639.1427664052,75573.0693091989,15763.3473914164,18212.3890219766,29055.519174552,56804.6276888417
18289.1068427703,24979.6644174454,62272.9992566153,214786.124420144,17710.4184592282,20844.8347648314,40803.3993335041,51744.4304167671,17606.3179541648,20158.7616049785,38454.0284836056,44274.9268146376,17543.9748084143,19883.9748084141,35943.5123908144,38591.4197463011,17473.2052557926,19273.2052557925,31093.7168671485,31093.7168671485
17001.6203359068,23445.5698295678,40490.8975260633,99118.9881401235,16197.6619664671,19616.8377234244,33248.7029407366,86080.5669325635,15967.2599462136,18366.3625433179,26407.0763902902,36809.2108756258,15945.1888784017,18213.8284887084,24988.7719165073,34207.8269658669,15915.1888784017,17913.8284887085,22479.6794206708,31542.7219177839
19266.9844020678,25421.8708371437,47120.7203949397,104223.999528465,18750.0016460105,22003.0899577651,40056.2962287863,90729.1125241905,18581.2564800065,21020.3590771109,34695.2631150671,71542.86794014,18432.6290630085,19782.6290630084,28633.2613819632,30568.5193848129,18392.6290630085,19382.6290630084,24227.5961595498,24227.5961595498
16933.6447225245,23079.6795693472,48719.2696014501,118701.857541508,16341.8802205366,19794.0173055264,35303.6512089078,45357.9809974439,16113.7797154733,18118.4680990153,26899.9965953764,29101.0506295063,15953.2822407902,16943.2822407902,22599.2122497908,22824.2571978814,15883.2822407902,16243.2822407902,17228.7292091344,17228.7292091344
15620.2120395301,21737.6649250599,47147.6611614989,118626.363384357,15297.1754596036,19363.6232944996,35348.4994796307,78576.3309269309,14944.0038867284,16453.9521549002,25358.2132650189,29140.849260442,14871.6607409779,15951.6607409778,23248.5743725874,24106.7605897501,14791.6607409779,15151.6607409779,16763.723799563,16763.723799563
17927.2010717105,24180.5222818219,48429.191539641,176781.367358188,17290.7746648393,20431.5879400624,38541.2502038832,129425.450916659,16938.6030919641,17928.603091964,26060.5841149174,27861.3585694964,16936.1178105898,17926.1178105898,23530.369537316,23530.369537316,16846.1178105899,17026.1178105898,17550.0976080543,17550.0976080543
17981.4062659194,24688.3355570448,48170.8902347112,114830.493326677,17442.7494116699,21755.7170158255,41061.0880759845,101597.198384963,17179.121994672,19534.7565543448,32440.6454403991,71506.3685220881,17015.0681708028,18275.0681708027,25175.7647738321,25953.3711217428,16953.8965979275,17673.8965979275,20217.1193950166,20217.1193950166
16315.3137700828,20964.2418357192,40991.5717729329,158765.795646846,15745.9777670072,17756.7717062465,26441.0382259363,48657.4921882774,15590.2620382547,16695.5240149255,21999.7161492734,23964.4103013246,15527.8356313835,16337.8356313834,20569.3742290124,21090.6100859622,15497.8356313835,16037.8356313834,18028.1871452982,18028.1871452982
15379.4252429657,20701.4954442258,48886.5923344055,110946.986530187,15095.0577105976,19099.3491245199,43082.7110986401,92726.5335830715,14836.7734393501,17176.7734393501,38674.6152852732,73683.6803488078,14836.7734393501,17176.7734393501,35490.9758852273,63697.974003448,14621.6018664748,15071.6018664748,17032.0854147455,17032.0854147455
17286.239743678,22243.2359185333,41639.7088579211,84542.4760827306,16559.2986181811,19076.2022971997,33413.1390899371,46719.4309243809,16344.742268995,17988.430652537,29617.6736521609,32860.3138316664,16284.742268995,17544.7422689949,25315.9729266338,25800.8786976937,16173.5706961198,16443.5706961197,17539.010521789,17539.010521789
17290.4160082497,24251.7788489213,54052.2901629233,207703.900187298,16932.960164127,21610.3877964873,43905.5393770872,181906.586776152,16398.6170183765,17489.45763881,24104.1862787461,29355.3989745671,16373.9185335666,17363.9185335666,21834.1643431072,21834.1643431072,16323.9185335666,16863.9185335666,18726.4663659117,18726.4663659117
17525.5585028109,23642.3019357113,49000.4782618665,144883.938710594,17079.7300756862,21632.0681708026,43373.5397360251,119684.096146798,16872.2447943119,20157.852875326,32556.4263197777,59461.93655697,16746.3158621238,19068.8751699026,29487.7126830666,43817.2810768877,16705.1442892485,18730.1442892485,24530.8598693245,38030.8598693271
19216.1404641039,28364.568455402,79073.2931215174,428832.588781117,18618.8145622961,24542.2068402196,63863.5628971548,335507.639943751,18016.6774773063,19324.4958031632,28616.0302167098,34985.479128418,17931.878487433,19014.1800026231,25160.6957980613,25250.4299962458,17840.7069145578,18200.7069145578,19453.0411845298,19453.0411845298
16243.8709858207,22157.9929189087,49405.6090707341,156312.889429746,15780.5867145732,19658.6203359067,41248.7388027871,113648.359856567,15605.6161518247,18049.3827458535,33871.0134803814,63973.5211179157,15476.9592975752,17186.9592975751,27204.2512806955,27299.9266043771,15354.9592975752,15984.9592975752,18174.0214896086,18174.0214896086
16703.1552570681,22328.2123984674,50012.6289143319,207001.087271021,16379.1430637593,19789.3024433255,35767.7480375034,96940.3532215078,16153.2141315711,17884.7065556202,30445.4398872527,39240.2347546274,16040.7582874484,17210.7582874484,24141.1533752876,25336.6461582743,15970.7582874484,16510.7582874484,18568.1476067788,18568.1476067788
17945.8419075066,23190.8107371515,43383.915785235,135726.927891456,17231.6165107622,19103.9150673596,33546.1517908616,83462.7825869808,17097.4327445781,18198.8469581404,27703.9781259439,33108.0051738014,17086.2611717029,18166.2611717028,26334.2446456347,27778.3500526556,17016.2611717029,17466.2611717028,19947.2228586728,19947.2228586728
17487.3402487414,23272.0450096741,47970.8807897332,179543.422197268,16909.9605230645,20126.168675866,35693.5574875815,117321.958492601,16555.0732214367,17747.1219946719,23080.7652814463,30564.1129702172,16523.9016485614,17487.5412588681,21760.3590771107,27575.6466658893,16480.1442892486,17110.1442892485,18779.6745187134,18779.6745187134
16216.4083579605,20605.3616767662,35144.137356834,82887.5685169869,15623.0824561527,17326.0437841852,25941.955831368,36658.0880759853,15491.7809409625,16493.496669715,22894.1092937488,26506.477543992,15481.7809409625,16471.7809409625,21855.9945033355,23958.7017152471,15450.6093680873,16170.6093680872,20112.9680246769,20138.5975337159
17257.8255301157,21698.3831047909,35173.8509935457,81952.2608743511,16872.0681708028,19159.3940726105,28241.4536649884,47513.6268222909,16711.3940726106,18163.3524420502,23217.5987592052,27874.9481810805,16610.9676657394,17510.9676657393,20107.3489758431,20107.3489758431,16580.9676657394,17210.9676657394,18653.5546776663,18653.5546776663
18125.7535957521,23608.0584284724,45352.906760779,117831.135029029,17623.8124702551,20754.5912575926,35111.7576311568,51548.8724831566,17452.6825279402,20005.2073478335,33376.7050327769,40635.9541598498,17452.6825279402,20005.2073478335,30548.8609461366,35677.7822280372,17361.5109550649,19116.5109550648,24696.8114550266,29196.8114550281
18641.8722113099,24146.7896680641,43398.8618126879,156963.099166967,17874.5807973875,20258.6884451258,34965.6353391312,120251.399543764,17764.0366415102,19500.3381567003,31837.6139111065,59870.2885784981,17668.4508550726,18677.0904653794,25827.9523651608,46231.4190284279,17615.551360136,18155.551360136,19994.153882902,19994.153882902
