Main_rivers_S3_k10,Main_rivers_S3_k100,Main_rivers_S3_k1000,Main_rivers_S3_k10000,Main_rivers_S4_k10,Main_rivers_S4_k100,Main_rivers_S4_k1000,Main_rivers_S4_k10000,Main_rivers_S5_k10,Main_rivers_S5_k100,Main_rivers_S5_k1000,Main_rivers_S5_k10000
11249.5140623346,15515.7579285108,30921.3851968312,92300.8318678193,10776.3963133285,12558.8521574511,21803.0152134848,37087.6482503144,10743.739459079,12318.2003538355,19837.4504961345,32581.8729291838
11553.2045379177,15716.3458069895,35087.7149237838,110646.948242658,11259.2045379177,13619.8563415332,28777.2069888958,75060.830283394,11112.434985296,12647.3466735413,22860.2258172653,24480.448973292
11447.3912626946,15657.2238739014,32635.211531915,73558.1731317906,11174.2562697458,13596.7243071772,26884.732675341,52478.3298501182,10948.0897475044,12316.2562697457,23184.6077836598,34515.8539521375
10449.3231534756,13397.4429945226,32565.8445071619,147245.460658989,10265.4114652302,12076.4652890992,24566.1792847478,79782.1462326121,10150.3403974183,11320.3403974182,18421.7112473163,20981.3629022554
12009.005619832,17391.1822433409,43859.3245892247,132887.747145443,11479.6746673903,14750.1010742613,37181.5980413296,104907.271037203,11248.5325317666,13093.5325317664,29943.5433509085,47586.9912473874
11419.8815947027,14123.2747391777,25909.1089348116,55672.8024305731,11100.3546827682,12580.9160825881,20599.0463838403,26794.9872119837,11049.7688963305,12129.7688963305,19332.3571337463,22085.6454403993
11095.8976131562,15359.3210614344,35081.899407843,93714.9544932751,10800.1108165917,13244.3017254506,29934.8810870878,79919.091306421,10647.7138469721,12286.3534572788,26689.67798492,51284.9206871905
9347.81435203551,13346.1494885593,32135.4325959009,115290.882522834,9069.98592491076,11567.6082912748,20369.1266863684,57665.4193257797,8871.60114859991,9908.22856559782,14905.8593001261,25004.6372209111
11552.8126189319,16534.3121856559,38084.6449327848,135408.263027977,11091.1557646824,13284.5678862037,23776.1885194638,42422.55351376,10892.557784936,12056.6196180318,21343.2625458684,35758.5313678601
10317.919041181,14505.1679579911,37527.6569158326,172276.212014021,9868.60533268199,11548.1170927149,21911.2928496714,40627.1624613259,9735.19111911961,10635.7352749968,19341.1019408126,24543.0932752952
12340.0846968705,16827.8432816726,32693.0239405868,97692.3831663764,11917.3273375577,14473.0796462366,24204.5576362589,38877.6099372866,11846.4694731814,14081.0725035617,22704.7056890683,30320.5982515925
10241.5271221952,14028.8786361098,27359.2730060736,104224.626822286,9819.39717988029,11220.2083630622,17565.5476836679,35172.6921215923,9661.42661713181,10452.0489834958,15656.6288527475,21843.8713447576
10512.359733402,13119.8836867437,23564.7044635787,64017.1911807019,10187.1709165841,11614.5212050094,18550.1204102448,35546.4280528814,10110.9993437088,11086.5212050095,16408.179284748,17618.6509986475
11624.3677426288,16040.6401795048,34672.3548930279,97021.2022101029,11293.7941494999,13839.5637021216,27873.744002098,61661.7693168491,11095.3433560111,12590.034698146,22324.1346955947,38310.3573440059
9758.19111911963,13840.2217818604,35587.6349801942,149406.45883879,9425.36269199489,12084.3626919948,26932.6358467455,80841.9038637699,9365.40432255523,11681.7596616144,23613.342340782,59990.0398719465
11078.9434277986,15610.4623305063,40453.0768979041,128206.771111541,10787.9484784325,13180.8084348496,27929.0173055257,37393.80033853,10695.0195462444,12610.4926343096,26061.2313755131,31352.1528676732
9844.291624183,13374.2074965105,24147.211531916,63598.5616716682,9399.70583774539,11464.5738033894,20703.0152134857,54535.4078503504,9291.84797336913,10790.1932111607,16602.1766850931,26445.8246635651
12203.1275529202,16345.523655988,30904.3956570372,63448.0339547648,11857.8727189242,14076.4269760693,26541.8032355389,52985.5026484869,11761.2280579836,13480.2818818527,24612.6203359064,47021.2188848537
9769.12005130778,13151.9009306865,25266.1164364234,46447.0443533825,9467.09566469013,11530.3677426287,19653.3533086017,26919.1572004318,9300.45100374948,10247.3282041095,14486.0329650422,15568.0378669994
8968.25086017446,12214.6793590866,27099.3528009877,55400.6216229797,8833.6406871192,11339.34126397,20989.6018664747,39330.4204025922,8637.81225999445,9633.43462635847,15526.1667325017,18117.4062659193
11382.0733701135,15402.0543930672,31542.7931342714,113013.059864227,10954.23274968,12936.1982617945,24612.2482605189,73542.6963056766,10758.6175259908,11478.6175259908,17492.1994872836,18704.2792821973
11293.4337598067,15791.3681015662,30647.1916883177,73684.7489656411,10888.7769055573,13458.5140623346,26247.8814460259,63700.0981772536,10740.1494885593,12238.9850583589,21911.9509294107,47337.6942136345
10249.3719267109,13094.557784936,24183.4975362671,81702.2446456404,9895.81052689088,11255.4206999461,17104.7297167483,33424.6227868839,9792.02373032648,10596.0481169441,14100.2402512922,15627.916800463
9902.10576595789,13347.4093731891,30421.062253617,52878.3921037375,9737.85093196195,12351.1423458843,26732.2991257953,42513.9886477334,9561.80930140161,10956.8093014016,23549.0287809602,32905.7748750995
10851.7668042895,14539.4715652223,29247.1880118492,65348.3969441087,10404.4114652302,12408.923225263,22997.9551134925,34938.8302833954,10209.8551160441,11403.543499586,20556.8239456884,23376.4019331604
11770.4783489599,16343.1221433486,35074.3077042196,124440.469027148,11572.3362133362,14662.602374089,28914.8957313753,107718.026391562,11264.662115144,12175.5027355775,17670.9033816648,22711.7830330031
