Main_rivers_S3_k10,Main_rivers_S3_k100,Main_rivers_S3_k1000,Main_rivers_S3_k10000,Main_rivers_S4_k10,Main_rivers_S4_k100,Main_rivers_S4_k1000,Main_rivers_S4_k10000,Main_rivers_S5_k10,Main_rivers_S5_k100,Main_rivers_S5_k1000,Main_rivers_S5_k10000,Main_rivers_S6_k10,Main_rivers_S6_k100,Main_rivers_S6_k1000,Main_rivers_S6_k10000,Main_rivers_S7_k10,Main_rivers_S7_k100,Main_rivers_S7_k1000,Main_rivers_S7_k10000
13758.6779849206,22635.032457428,76986.222202382,457989.01064496,13328.0160800372,19008.7035970273,52040.7198257408,250917.649178442,12754.2515780494,14844.6262530924,27735.0117472777,41575.5056070764,85404.3443202291,94273.4031947324,151242.555021673,160754.851547814,84753.1727473538,87672.2316218571,95404.8860867127,104463.651455253
13067.6124753569,19168.7986925194,47072.840025725,207641.002066521,12634.4459531155,16100.9425612467,32597.9037406016,105060.783602196,12350.605332682,14156.9312344897,21936.2355595955,28109.5339675159,110040.399677509,130334.045205003,186792.548099828,186792.548099828,108747.678898123,117927.678898124,137213.596478047,137213.596478047
11995.5741623269,16340.6250276031,33168.5574875823,128643.196231336,11715.816803014,14098.2331086174,24581.1644917838,101746.908791234,11383.0888809527,11577.691911333,13024.8706268831,13453.6515062619,124374.761405295,135894.761405295,170646.748838109,171068.689455992,123194.761405295,124094.761405295,127946.649783735,127946.649783735
11656.5060531079,15066.5813050017,28139.1101603004,46619.844927685,11356.5060531079,13413.2735136885,23202.3280554323,31091.4623920908,11258.2928496723,12778.8441482245,19176.0568440457,19877.9284861575,106338.092480902,123276.832237336,177999.975311667,177999.975311667,105150.7198979,111900.719897901,131359.277954683,131359.277954683
11697.1751006662,16294.5468171162,40704.3073452819,105626.217992789,11323.6187514801,14093.0207717334,36669.4550391537,94863.1467147166,11283.0329650424,13972.5527343019,36389.9289937709,88976.3136829879,83325.9986364071,111678.143730626,315418.585720504,462039.896122048,82431.6798772742,104751.679877276,246812.784997521,246812.784997521
12441.7263992184,16211.8474657548,38949.9779772675,166669.760984755,12138.501002474,14352.380294875,29668.7105910257,92627.8280171679,11970.6187514801,12968.0918395454,21540.0526599632,24786.4144854066,123060.566609707,144411.313867754,277458.849948453,282446.948248875,121485.18688403,129495.458961969,155912.246845915,155912.246845915
12221.6490552834,17112.9904679302,44781.7333932155,190623.052634451,11841.2054044695,14890.0186796924,37120.3411152921,135581.154662357,11782.3769773447,14431.8206281585,35630.270914032,128794.276744122,147894.088122639,171494.133937283,319850.103495378,475955.566554343,147612.916549763,168728.009045601,268495.720241909,396732.767938344
12892.7499192842,19093.9012896238,50235.8071222672,176448.780346257,12340.1225022863,15781.7936418855,38890.5522882719,105322.242615185,12235.3945802249,15092.4799333866,31820.9161441721,94350.6527933421,87710.7703681633,103117.988622234,194817.585412572,218488.236360206,87609.598795288,102189.870873228,155520.630360661,155520.630360661
12448.2036713659,17317.3155031862,40107.1504166941,138166.94268441,12101.3163697381,14673.2209153085,25938.8398154654,55297.1696040027,11795.760020552,12830.760020552,20950.3592257873,28297.990170576,105286.351673167,127921.623751106,274887.00311348,287388.579491018,103395.180100291,109020.45217823,135960.236918831,140460.236918832
11588.8542494923,14803.8269042817,24929.745586525,45636.7151340444,11247.244076437,13445.1507140485,21008.7666556124,31982.684112366,11170.8298628746,12551.5111037417,17697.8638431455,22464.0673042505,95836.5415052122,110789.529311904,175722.099572565,186340.727707439,95014.7669019566,102792.046122571,118554.316739252,127611.195672717
11876.5232970506,15600.4261095174,36901.5900321027,136922.978756721,11468.310093615,12907.2533111529,24853.6292116851,41577.8587054193,11417.9253173041,12651.5649276109,24560.9113908913,34529.8799231834,96525.1248406712,111201.632416623,220265.960754475,228629.336208977,94978.7106271088,95878.7106271088,100896.537172454,100896.537172454
11796.3151442489,15871.5105961274,36537.8948648239,174906.491680667,11355.8248122407,13325.2827484044,25714.3348391694,90818.3434175903,11188.6999205597,12088.6999205597,19029.3357057216,22929.0474606529,76239.9031819767,87849.903181977,142867.007758525,143244.944910201,75266.9742497886,78146.9742497887,89554.8049792164,89554.8049792164
11470.3517241753,16017.3214203719,33895.305612179,102380.638000375,11018.9719984984,13554.1700500322,26910.8481836292,58289.7386541124,10917.6582899994,13125.1435713734,24295.3881554245,52485.5327420286,99771.8402465617,117325.67163228,190685.769758521,246890.508289469,98762.0483993634,108199.804892125,133783.123328398,181092.306017774
11321.2958082651,16555.118318204,48916.049193755,264261.310785966,10987.366876077,14481.2949417131,43071.7999180071,234329.450978225,10830.5800795126,13815.5607435286,40911.3407563542,217448.968234921,89984.9593952417,105329.60109759,218796.059526433,567127.604759142,88454.7756290576,90164.7756290577,96201.2576544861,96201.2576544861
12502.0409742692,15757.0380156762,37740.8389489133,95882.9780388597,12311.0359236353,15028.3933547356,35617.7607384266,86184.0698168218,12254.7222151363,14790.6116088051,30357.4022920982,76954.774367494,139258.218808336,159673.661233661,246409.161564909,269395.730317667,137606.905099837,143411.905099838,160231.340146719,182731.340146722
11435.7903243553,16178.8361389976,52813.3893809128,317494.804138153,11228.121276797,15287.3903961427,49115.2834662781,293506.677600462,10966.0207717336,13226.9396026539,35676.3301474725,165319.814264936,90308.6485837518,109744.914236891,248797.174983705,625001.038257671,88227.7104168475,89577.7104168476,95790.7127191499,95790.7127191499
12292.6999205597,17475.1813767892,40683.5794232208,165331.229047706,11619.6288527478,13653.3466735413,27116.7342597674,64701.0290528042,11556.4278426211,13193.9425612467,24787.465140422,44772.619172002,97295.6490658579,116448.739110717,237537.299741653,284085.043308291,96858.0754727291,113508.07547273,183320.111135093,201320.111135093
11698.4114652301,16203.6187514799,44470.0906756399,153939.787637611,11502.3160108006,15268.0207717334,41915.4435637205,150207.016141623,11384.3160108006,14375.3820279785,38392.2178080389,130516.292193385,105555.828499284,132148.879005624,298843.92677421,446714.272914643,104530.007214834,122826.555554794,228536.980387814,366169.197924022
10861.2714216475,13799.4837585312,26489.492126695,86778.6616691136,10499.3820279786,11859.7424176718,19666.1082169363,33744.2143418319,10477.5119702935,11767.2398923549,19064.5447250753,30412.5752391394,109503.992273193,121994.078492907,189336.816885745,198839.816737069,108403.992273193,111016.168896702,117790.796523962,126790.796523962
