segment_L,accession_L,country,admin1,location,latitude,longitude
LASV_NGA_2013_IRR_007_NGA-Enugu_Enugu_Hs_2013-02-03,MK107894,NGA,Enugu,Enugu,6.452667,7.510333
LASV_NGA_2016_IRR_013_NGA-Imo_Owerri_Hs_2016-01-27,MK107873,NGA,Imo,Owerri,5.485,7.035
LASV_NGA_2017_IRR_008_NGA-Ebonyi_EzzaNorth_Hs_2017-02-02,MK117867,NGA,Ebonyi,EzzaNorth,NA,NA
MH053556|ISTH_0779|Human|Nigeria|2016-02-29,MH053556,NGA,Ebonyi,,NA,NA
LASV_NGA_2018_IRR_060_NGA-Ebonyi_Isiama_Hs_2018-02-03,MK117909,NGA,Ebonyi,Isiama,6.065463,7.81309
LASV_NGA_2016_IRR_018_NGA-Ebonyi_Ikwo_Hs_2016-02-09,MK107868,NGA,Ebonyi,Ikwo,6.0767,8.0701
KU978812|NIGERIA IKEJI|Human|NIG|1989-01-01,KU978812,NGA,,,NA,NA
MG812640|806593|Human|Nigeria|1989,MG812640,NGA,,,NA,NA
LASV_NGA_2016_IRR_026_NGA-Ebonyi_Ohaukwu_Hs_2016-02-26,MK107870,NGA,Ebonyi,Ohaukwu,NA,NA
LASV_NGA_2018_IRR_013_NGA-Imo_Obowo_Hs_2018-01-13,MK117879,NGA,Imo,Obowo,NA,NA
MH887959|LASV0125-EBONYI-2018|Human|Nigeria|2018-01-13,MH887959,NGA,Ebonyi,,NA,NA
LASV_NGA_2018_IRR_011_NGA-Ebonyi_Amauro_Hs_2018-01-13,MK117878,NGA,Ebonyi,Amauro,5.967,7.867
MH053548|ISTH_1311|Human|Nigeria|2016-06-10,MH053548,NGA,Ebonyi,,NA,NA
MH053543|ISTH_1150|Human|Nigeria|2016-04-25,MH053543,NGA,Ebonyi,,NA,NA
LASV_NGA_2016_IRR_027_NGA-Ebonyi_Izzi_Hs_2016-02-28,MK107871,NGA,Ebonyi,Izzi,NA,NA
LASV_NGA_2018_IRR_034_NGA-Ebonyi_Iboko_Hs_2018-01-25,MK117892,NGA,Ebonyi,Iboko,6.556183,8.303293
MH053539|ISTH_0777|Human|Nigeria|2016-02-28,MH053539,NGA,Ebonyi,,NA,NA
LASV_NGA_2018_IRR_101_NGA-Ebonyi_Abakaliki_Hs_2018-02-12,MK117932,NGA,Ebonyi,Abakaliki,6.333333,8.1
LASV_NGA_2016_IRR_021_NGA-Ebonyi_NA_Hs_2016-02-18,MK107869,NGA,Ebonyi,,NA,NA
MH053583|ISTH_0565|Human|Nigeria|2016-02-11,MH053583,NGA,Ebonyi,,NA,NA
KM821978|ISTH2094_NIG_2012|Human|Nigeria|2012,KM821978,NGA,,,NA,NA
LASV_NGA_2013_IRR_005_NGA-Ebonyi_Abakaliki_Hs_2013-01-25,MK107893,NGA,Ebonyi,Abakaliki,6.333333,8.1
LASV_NGA_2018_IRR_035_NGA-Ebonyi_Okposi-Okwa_Hs_2018-01-23,MK117893,NGA,Ebonyi,Okposi-Okwa,6.032415,7.850118
LASV_NGA_2014_IRR_005_NGA-Ebonyi_Abakaliki_Hs_2014-05-14,MK107847,NGA,Ebonyi,Abakaliki,6.333333,8.1
LASV_NGA_2018_IRR_063_NGA-Ebonyi_Amogwe_Hs_2018-02-07,MK117911,NGA,Ebonyi,Amogwe,6.1878,8.1189
LASV_NGA_2018_IRR_100_NGA-Ebonyi_Ohaozara_Hs_2018-02-12,MK117931,NGA,Ebonyi,Ohaozara,NA,NA
MH053558|ISTH_0543|Human|Nigeria|2016-02-08,MH053558,NGA,Ebonyi,,NA,NA
LASV_NGA_2018_IRR_099_NGA-Ebonyi_UmunwaguIdembia_Hs_2018-02-15,MK117930,NGA,Ebonyi,UmunwaguIdembia,6.128725,8.00679
LASV|NGA|2019|IRR_0094|2019-02-18,LASV|NGA|2019|IRR_0094|2019-02-18,NGA,Ebonyi,Afikpo,5.889345,7.953555
LASV_NGA_2018_IRR_061_NGA-Ebonyi_Abakaliki_Hs_2018-02-07,MK117910,NGA,Ebonyi,Abakaliki,6.333333,8.1
MH887920|LASV0126-EBONYI-2018|Human|Nigeria|2018-01-13,MH887920,NGA,Ebonyi,,NA,NA
LASV_NGA_2018_IRR_065_NGA-Ebonyi_Abakaliki_Hs_2018-02-10,MK117912,NGA,Ebonyi,Abakaliki,6.333333,8.1
LASV_NGA_2018_IRR_044_NGA-Ebonyi_AgbajaAzumili_Hs_2018-01-30,MK117897,NGA,Ebonyi,AgbajaAzumili,6.340038,8.129261
MH053486|ISTH_0133|Human|Nigeria|2016-01-14,MH053486,NGA,Anambra,,NA,NA
AY693640|las803213|Human|Nigeria|1974-02,AY693640,NGA,Anambra,Onitsha,6.166667,6.783333
LASV_NGA_2016_IRR_004_NGA-Taraba_Takun_Hs_2016-01-05,MK107887,NGA,Taraba,Takun,7.251211,9.976395
LASV_NGA_2012_IRR_003_NGA-Taraba_Jalingo_Hs_2012-02-10,MK107892,NGA,Taraba,Jalingo,8.89369,11.35765
LASV_NGA_2013_IRR_008_NGA-Taraba_Jalingo_Hs_2013-03-06,MK107846,NGA,Taraba,Jalingo,8.89369,11.35765
MH887942|LASV0154-TARABA-2018|Human|Nigeria|2018-02-04,MH887942,NGA,Taraba,Jalingo,8.89369,11.35765
LASV_NGA_2012_IRR_001_NGA-Taraba_Jalingo_Hs_2012-02-08,MK107890,NGA,Taraba,Jalingo,8.89369,11.35765
LASV_NGA_2018_IRR_096_NGA-Delta_Asaba_Hs_2018-02-17,MK117929,NGA,Delta,Asaba,6.197842,6.728467
LASV_NGA_2018_IRR_115_NGA-Delta_Asaba_Hs_2018-02-21,MK117937,NGA,Delta,Asaba,6.197842,6.728467
MH887993|LASV0217-DELTA-2018|Human|Nigeria|2018-03-27,MH887993,NGA,Delta,,NA,NA
LASV|NGA|2019|IRR_0002|2019-01-16,LASV|NGA|2019|IRR_0002|2019-01-16,NGA,Edo,Okpella,7.272099,6.346321
MH053499|ISTH_1423|Human|Nigeria|2016-08-16,MH053499,NGA,Anambra,,NA,NA
MH053500|ISTH_1610|Human|Nigeria|2016-11-07,MH053500,NGA,Edo,EsanSout,NA,NA
MH887988|LASV0209-KOGI-2018|Human|Nigeria|2018-03-02,MH887988,NGA,Kogi,,NA,NA
LASV_NGA_2018_IRR_009_NGA-Anambra_AnambraWest_Hs_2018-01-13,MK117876,NGA,Anambra,AnambraWest,NA,NA
LASV|NGA|2019|IRR_0102|2019-02-28,LASV|NGA|2019|IRR_0102|2019-02-28,NGA,Delta,Asaba,6.197842,6.728467
KM821985|ISTH2271_NIG_2012|Human|Nigeria|2012,KM821985,NGA,,,NA,NA
LASV_NGA_2015_IRR_010_NGA-Kogi_Ibaji_Hs_2015-07-02,MK107858,NGA,Kogi,Ibaji,NA,NA
KM821944|ISTH1121_NIG_2012|Human|Nigeria|2012,KM821944,NGA,,,NA,NA
MK281626|LASV0230-DELTA-2018|Human|NIG|2018-02-04,MK281626,NGA,Delta,,NA,NA
MH887970|LASV0093-EDO-2017|Human|Nigeria|2017-08-19,MH887970,NGA,Edo,EsanSout,NA,NA
LASV|NGA|2019|IRR_0064|2019-01-03,LASV|NGA|2019|IRR_0064|2019-01-03,NGA,Edo,Ubiaja,6.659722,6.382222
MH888000|LASV0214-KOGI-2018|Human|Nigeria|2018-03-18,MH888000,NGA,Kogi,,NA,NA
LASV|NGA|2019|IRR_0058|2019-02-13,LASV|NGA|2019|IRR_0058|2019-02-13,NGA,Kogi,Ibaji,NA,NA
KM821940|ISTH1107_NIG_2012|Human|Nigeria|2012,KM821940,NGA,,,NA,NA
LASV_NGA_2018_IRR_037_NGA-Edo_Ubiaja_Hs_2018-01-26,MK117895,NGA,Edo,Ubiaja,6.659722,6.382222
LASV_NGA_2018_IRR_024_NGA-Edo_Agenegbode_Hs_2018-01-19,MK117888,NGA,Edo,Agenegbode,7.098654,6.678859
MH887921|LASV0141-EDO-2018|Human|Nigeria|2018-01-19,MH887921,NGA,Edo,EtsakoEa,NA,NA
LASV|NGA|2019|IRR_0009|2019-01-21,LASV|NGA|2019|IRR_0009|2019-01-21,NGA,Kogi,Ibaji,NA,NA
LASV_NGA_2012_IRR_010_NGA-Delta_Asaba_Hs_2012-05-28,MK107843,NGA,Delta,Asaba,6.197842,6.728467
LASV_NGA_2018_IRR_042_NGA-Anambra_Nzam_Hs_2018-01-29,MK117896,NGA,Anambra,Nzam,6.452245,6.728375
LASV_NGA_2018_IRR_073_NGA-Anambra_Ode-Nzam_Hs_2018-02-12,MK117916,NGA,Anambra,Ode-Nzam,6.452608,6.726605
KM822090|LASV989_NIG_2009|Human|Nigeria|2009,KM822090,NGA,,,NA,NA
LASV|NGA|2019|IRR_0025|2019-02-02,LASV|NGA|2019|IRR_0025|2019-02-02,NGA,Edo,Irrua,6.738429,6.221953
KM822042|LASV251_NIG_2010|Human|Nigeria|2010,KM822042,NGA,,,NA,NA
KM822034|LASV242_NIG_2010|Human|Nigeria|2010,KM822034,NGA,,,NA,NA
KM822044|LASV253_NIG_2011|Human|Nigeria|2011,KM822044,NGA,,,NA,NA
LASV|NGA|2019|IRR_0019|2019-01-08,LASV|NGA|2019|IRR_0019|2019-01-08,NGA,Edo,Uromi,6.712259,6.329005
KM822087|LASV982_NIG_2009|Human|Nigeria|2009,KM822087,NGA,,,NA,NA
LASV_NGA_2016_IRR_002_NGA-Edo_NA_Hs_2016-02-15,MK117828,NGA,Edo,NA,6.75,6.221953
MH887929|LASV0177-EDO-2018|Human|Nigeria|2018-02-12,MH887929,NGA,Edo,EsanNort,NA,NA
KM821999|LASV003_NIG_2008|Human|Nigeria|2008,KM821999,NGA,,,NA,NA
KM821960|ISTH2037_NIG_2012|Human|Nigeria|2012,KM821960,NGA,,,NA,NA
KM822032|LASV241_NIG_2011|Human|Nigeria|2011,KM822032,NGA,,,NA,NA
