segment_S,accession_S,country,admin1,location,latitude,longitude
GU830829|Lib07-30|Human|LIB|2007,GU830829,LBR,,,NA,NA
MG812655|LF11011|Human|Liberia_Bong|2011-04-14,MG812655,LBR,Bong,Jorquelleh,6.99556,-9.47222
MG812663|LF16004|Human|Liberia_Bong|2016-02-26,MG812663,LBR,Bong,Jorquelleh,6.99556,-9.47222
GU830812|Lib04-2739|Human|LIB|2004,GU830812,LBR,,,NA,NA
GU830837|Lib07-624|Human|LIB|2007,GU830837,LBR,,,NA,NA
GU830836|Lib07-612|Human|LIB|2007,GU830836,LBR,,,NA,NA
MG812667|LF17007|Human|Liberia_Nimba|2017-01-09,MG812667,LBR,Nimba,Saclepea-Mah,NA,NA
MG812657|LF13006|Human|Liberia_Nimba|2013-04-29,MG812657,LBR,Nimba,Saclepea-Mah,NA,NA
GU830835|Lib07-515|Human|LIB|2007,GU830835,LBR,,,NA,NA
GU830828|Lib07-29|Human|LIB|2007,GU830828,LBR,,,NA,NA
MG812670|LF17020|Human|Liberia_Nimba|2017-05-02,MG812670,LBR,Nimba,Saclepea-Mah,NA,NA
GU830825|Lib06-1101|Human|Liberia|2006,GU830825,LBR,,,NA,NA
GU830827|Lib06-2442|Human|LIB|2006,GU830827,LBR,,,NA,NA
GU830820|Lib06-120|Human|LIB|2006,GU830820,LBR,,,NA,NA
GU830832|Lib07-56|Human|LIB|2007,GU830832,LBR,,,NA,NA
GU830831|Lib07-55|Human|LIB|2007,GU830831,LBR,,,NA,NA
MG812632|807978|Human|Liberia|1981,MG812632,LBR,,,NA,NA
MG812669|LF17019|Human|Liberia_Bong|2017-05-04,MG812669,LBR,Bong,Jorquelleh,6.99556,-9.47222
GU830816|Lib05-2096/127|Human|LIB|2005,GU830816,LBR,,,NA,NA
MH215289|LF18042|Human|Liberia_Nimba|2018-03-01,MH215289,LBR,Nimba,,NA,NA
GU830826|Lib06-1826|Human|LIB|2006,GU830826,LBR,,,NA,NA
MH215281|LF18002|Human|Liberia_Nimba|2018-01-10,MH215281,GIN,Yomou,,NA,NA
GU830817|Lib05-2406/129|Human|LIB|2005,GU830817,LBR,,,NA,NA
GU830833|Lib07-206|Human|LIB|2007,GU830833,LBR,,,NA,NA
MG812665|LF16016|Human|Liberia_Nimba|2016-04-13,MG812665,LBR,Nimba,Garr bain,7.24306,-8.87194
MG812658|812337|Human|Liberia|2014,MG812658,LBR,,,NA,NA
GU830830|Lib07-54|Human|LIB|2007,GU830830,LBR,,,NA,NA
MG812661|LF13007|Human|Liberia_Nimba|2013-04-29,MG812661,LBR,Nimba,Saclepea-Mah,NA,NA
MH215283|LF18037|Human|Liberia_Nimba|2018-02-13,MH215283,LBR,Nimba,,NA,NA
MG812673|LF17001|Human|Liberia_Nimba|2017-01-09,MG812673,LBR,Nimba,,NA,NA
KT833189|Yar20|GIN|Guinea|2013-11-20,KT833189,GIN,Faranah,Yarawalia,9.95445,-10.7318833
KT833190|Yar24|GIN|Guinea|2013-11-21,KT833190,GIN,Faranah,Yarawalia,9.95445,-10.7318833
AF182269|las807868|Human|Guinea|1996,AF182269,GIN,Faranah,Faranah,10.045385,-10.750165
KT833197|Dal04|GIN|Guinea|2013-11-28,KT833197,GIN,Faranah,Dalafilani,10.1431667,-10.60505
