node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear
256,257,751.098948,7.79009004146605,7.54971259650972,7.83621106993488,6.07955346886644,751.098948,0,995.397057,1746.496005
256,411,52.32449,7.79009004146605,7.54971259650972,7.84323349377006,8.02747345600959,52.32449,0,995.397057,1047.721547
411,412,90.63782,7.84323349377006,8.02747345600959,7.49789901026471,8.07234878619244,142.96231,52.32449,1047.721547,1138.359367
411,415,262.864924,7.84323349377006,8.02747345600959,8.15730867457158,8.52416486582369,315.189414,52.32449,1047.721547,1310.586471
415,416,175.42642,8.15730867457158,8.52416486582369,8.79562628851523,9.26328499501065,490.615834,315.189414,1310.586471,1486.012891
412,413,381.58144,7.49789901026471,8.07234878619244,5.04654345660704,7.73708714779788,524.54375,142.96231,1138.359367,1519.940807
415,445,300.57537,8.15730867457158,8.52416486582369,-8.20027075827651,9.52961319001142,615.764784,315.189414,1310.586471,1611.161841
445,452,112.128575,-8.20027075827651,9.52961319001142,-9.87695792508361,8.15030267817101,727.893359,615.764784,1611.161841,1723.290416
452,453,74.231517,-9.87695792508361,8.15030267817101,-10.7623930694056,8.63676734593209,802.124876,727.893359,1723.290416,1797.521933
416,417,317.14737,8.79562628851523,9.26328499501065,9.01474722511651,9.11160638820013,807.763204,490.615834,1486.012891,1803.160261
257,408,65.35731,7.83621106993488,6.07955346886644,7.82918536344607,6.07989825335812,816.456258,751.098948,1746.496005,1811.853315
417,418,16.139537,9.01474722511651,9.11160638820013,9.02835874165537,9.19517583887714,823.902741,807.763204,1803.160261,1819.299798
257,258,80.092121,7.83621106993488,6.07955346886644,7.84199977314491,6.06512015172437,831.191069,751.098948,1746.496005,1826.588126
416,444,351.067776,8.79562628851523,9.26328499501065,8.71712355227149,9.87934872001531,841.68361,490.615834,1486.012891,1837.080667
453,454,53.082733,-10.7623930694056,8.63676734593209,-11.0891402214716,8.19520806170625,855.207609,802.124876,1797.521933,1850.604666
418,419,43.379491,9.02835874165537,9.19517583887714,9.4575950120205,9.67078214983043,867.282232,823.902741,1819.299798,1862.679289
418,431,45.8118,9.02835874165537,9.19517583887714,8.52544753237637,8.50872734143631,869.714541,823.902741,1819.299798,1865.111598
452,505,150.375416,-9.87695792508361,8.15030267817101,-9.4755089851682,6.99410343256439,878.268775,727.893359,1723.290416,1873.665832
