segment_S,accession_S,country,admin1,location,latitude,longitude
MH887832|LASV0217-DELTA-2018|Human|Nigeria|2018-03-27,MH887832,NGA,Delta,,NA,NA
LASV|NGA|2019|IRR_0002|2019-01-16,LASV|NGA|2019|IRR_0002|2019-01-16,NGA,Edo,Okpella,7.272099,6.346321
MH053502|ISTH_1423|Human|Nigeria|2016-08-16,MH053502,NGA,Anambra,,NA,NA
MH053536|ISTH_1610|Human|Nigeria|2016-11-07,MH053536,NGA,Edo,EsanSout,NA,NA
LASV_NGA_2018_IRR_009_NGA-Anambra_AnambraWest_Hs_2018-01-13,MK117958,NGA,Anambra,AnambraWest,NA,NA
LASV_NGA_2018_IRR_133_NGA-Kogi_Idah_Hs_2018-03-02,MK118032,NGA,Kogi,Idah,7.11365,6.74345
MH887785|LASV0209-KOGI-2018|Human|Nigeria|2018-03-02,MH887785,NGA,Kogi,,NA,NA
LASV|NGA|2019|IRR_0102|2019-02-28,LASV|NGA|2019|IRR_0102|2019-02-28,NGA,Delta,Asaba,6.197842,6.728467
KM821986|ISTH2271_NIG_2012|Human|Nigeria|2012,KM821986,NGA,,,NA,NA
LASV_NGA_2015_IRR_010_NGA-Kogi_Ibaji_Hs_2015-07-02,MK107913,NGA,Kogi,Ibaji,NA,NA
KM821945|ISTH1121_NIG_2012|Human|Nigeria|2012,KM821945,NGA,,,NA,NA
LASV|NGA|2019|IRR_0058|2019-02-13,LASV|NGA|2019|IRR_0058|2019-02-13,NGA,Kogi,Ibaji,NA,NA
LASV|NGA|2019|IRR_0064|2019-01-03,LASV|NGA|2019|IRR_0064|2019-01-03,NGA,Edo,Ubiaja,6.659722,6.382222
MK281624|LASV0230-DELTA-2018|Human|NIG|2018-02-04,MK281624,NGA,Delta,,NA,NA
MH887825|LASV0214-KOGI-2018|Human|Nigeria|2018-03-18,MH887825,NGA,Kogi,,NA,NA
LASV_NGA_2012_IRR_009_NGA-Kogi_Iyano_Hs_2012-04-12,MK107972,NGA,Kogi,Iyano,6.797072,6.664688
MH887761|LASV0093-EDO-2017|Human|Nigeria|2017-08-19,MH887761,NGA,Edo,EsanSout,NA,NA
LASV_NGA_2012_IRR_010_NGA-Delta_Asaba_Hs_2012-05-28,MK107898,NGA,Delta,Asaba,6.197842,6.728467
LASV|NGA|2019|IRR_0009|2019-01-21,LASV|NGA|2019|IRR_0009|2019-01-21,NGA,Kogi,Ibaji,NA,NA
LASV_NGA_2018_IRR_042_NGA-Anambra_Nzam_Hs_2018-01-29,MK117979,NGA,Anambra,Nzam,6.452245,6.728375
LASV_NGA_2018_IRR_073_NGA-Anambra_Ode-Nzam_Hs_2018-02-12,MK118000,NGA,Anambra,Ode-Nzam,6.452608,6.726605
KM821941|ISTH1107_NIG_2012|Human|Nigeria|2012,KM821941,NGA,,,NA,NA
LASV_NGA_2018_IRR_024_NGA-Edo_Agenegbode_Hs_2018-01-19,MK117970,NGA,Edo,Agenegbode,7.098654,6.678859
LASV_NGA_2018_IRR_037_NGA-Edo_Ubiaja_Hs_2018-01-26,MK117977,NGA,Edo,Ubiaja,6.659722,6.382222
MK281627|LASV0225-ONDO-2018|Human|NGA|2018-01-20,MK281627,NGA,Ondo,,NA,NA
LASV|NGA|2019|IRR_0100|2019-03-03,LASV|NGA|2019|IRR_0100|2019-03-03,NGA,Ondo,Owo,7.19744,5.58653
KM822004|LASV035_NIG_2009|Human|Nigeria|2009,KM822004,NGA,,,NA,NA
KP640572|Ekpoma 521|Mastomys natalensis|Nigeria|2012-10-18,KP640572,NGA,Edo,Ekpoma,6.75,6.133333
KM822107|LASV1015_NIG_2009|Human|Nigeria|2009,KM822107,NGA,,,NA,NA
KM822041|LASV250_NIG_2011|Human|Nigeria|2011,KM822041,NGA,,,NA,NA
MH887842|LASV0097-EDO-2017|Human|Nigeria|2017-10-06,MH887842,NGA,Edo,EsanWest,NA,NA
LASV_NGA_2018_IRR_036_NGA-Edo_Ekpoma_Hs_2018-01-26,MK117976,NGA,Edo,Ekpoma,6.75,6.133333
LASV_NGA_2018_IRR_046_NGA-Edo_Ekpoma_Hs_2018-02-05,MK117982,NGA,Edo,Ekpoma,6.75,6.133333
LASV|NGA|2019|IRR_0022|2019-01-25,LASV|NGA|2019|IRR_0022|2019-01-25,NGA,Edo,Ekpoma,6.75,6.133333
LASV_NGA_2014_IRR_001_NGA-Edo_NA_Hs_2014-01-25,MK117846,NGA,Edo,NA,6.75,6.221953
KM821957|ISTH2025_NIG_2012|Human|Nigeria|2012,KM821957,NGA,,,NA,NA
LASV|NGA|2019|IRR_0072|2019-01-25,LASV|NGA|2019|IRR_0072|2019-01-25,NGA,Edo,Ekpoma,6.75,6.133333
MH053526|ISTH_0759|Human|Nigeria|2016-02-28,MH053526,NGA,Edo,EsanNort,NA,NA
KM822008|LASV045_NIG_2009|Human|Nigeria|2009,KM822008,NGA,,,NA,NA
MH053533|ISTH_1069|Human|Nigeria|2016-04-13,MH053533,NGA,Edo,EsanWest,NA,NA
KM821931|ISTH1048_NIG_2011|Human|Nigeria|2011,KM821931,NGA,,,NA,NA
